type	item	lc_zone	wma_id	zone	map	norm_x	norm_y	server_x	server_y	realms	modes	records	files	first_seen	last_seen	status
worldforged	132723	751	750	Maraudon	349	0.3768	0.7282	178.5	-138.2	Rexxar - Conquest of Azeroth|Vol'jin - Conquest of Azeroth	conquest-of-azeroth	2	9	2025-12-10	2025-12-10	CONFIRMED
worldforged	134869	142	141	Dustwallow Marsh	1	0.5690	0.6209	-4206.1	-3961.8	Vol'jin - Conquest of Azeroth	conquest-of-azeroth	1	1	2026-02-06	2026-02-06	CONFIRMED
worldforged	201537	17	16	Arathi Highlands	0	0.2115	0.6047	-1584.3	-1627.4	Vol'jin - Conquest of Azeroth	conquest-of-azeroth	1	1	2026-01-26	2026-01-26	CONFIRMED
worldforged	217842	29	28	Searing Gorge	0	0.3368	0.4510	-6770.6	-1073.7	Vol'jin - Conquest of Azeroth	conquest-of-azeroth	1	4	2026-07-29	2026-07-29	CONFIRMED
worldforged	217842	38	37	Stranglethorn Vale	0	0.2460	0.5332	-13436.2	650.5	Rexxar - Conquest of Azeroth	conquest-of-azeroth	2	10	2026-07-25	2026-08-05	FADING
worldforged	217842	38	37	Stranglethorn Vale	0	0.2889	0.6201	-13805.9	376.8	Vol'jin - Conquest of Azeroth	conquest-of-azeroth	1	4	2026-07-25	2026-07-25	FADING
worldforged	217842	38	37	Stranglethorn Vale	0	0.3964	0.5597	-13549.0	-309.0	Vol'jin - Conquest of Azeroth	conquest-of-azeroth	1	1	2026-08-16	2026-08-16	UNCONFIRMED
worldforged	217842	40	39	Westfall	0	0.5665	0.1901	-9843.5	1033.8	Rexxar - Conquest of Azeroth	conquest-of-azeroth	1	8	2026-08-15	2026-08-15	CONFIRMED
worldforged	217843	38	37	Stranglethorn Vale	0	0.4706	0.2828	-12371.0	-782.4	Vol'jin - Conquest of Azeroth	conquest-of-azeroth	1	4	2026-08-15	2026-08-15	CONFIRMED
worldforged	217844	38	37	Stranglethorn Vale	0	0.4358	0.8949	-14974.9	-560.4	Vol'jin - Conquest of Azeroth	conquest-of-azeroth	1	3	2026-08-05	2026-08-05	CONFIRMED
worldforged	217844	38	37	Stranglethorn Vale	0	0.5223	0.2766	-12344.7	-1112.3	Rexxar - Conquest of Azeroth	conquest-of-azeroth	1	10	2026-08-15	2026-08-15	CONFIRMED
worldforged	217851	38	37	Stranglethorn Vale	0	0.3199	0.5439	-13481.8	179.0	Rexxar - Conquest of Azeroth	conquest-of-azeroth	1	7	2026-08-13	2026-08-13	CONFIRMED
worldforged	217851	202	201	Un'Goro Crater	1	0.6140	0.3669	-6871.1	-1738.2	Vol'jin - Conquest of Azeroth	conquest-of-azeroth	1	2	2026-08-17	2026-08-17	CONFIRMED
worldforged	217860	43	42	Darkshore	1	0.4575	0.5324	6007.9	-55.0	Area 52 - Free-Pick|Bronzebeard - Warcraft Reborn|Darkmoon - Season 10 Wildcard|Dawnrise - Season 10 Freepick|Rexxar - Conquest of Azeroth|Vol'jin - Conquest of Azeroth	conquest-of-azeroth|free-pick|season-10-freepick|season-10-wildcard|warcraft-reborn	9	20	2026-06-03	2026-08-21	FADING
worldforged	278843	23	22	Western Plaguelands	0	0.3952	0.6842	1405.0	-1282.9	Area 52 - Free-Pick|Bronzebeard - Warcraft Reborn|Darkmoon - Season 10 Wildcard|Dawnrise - Season 10 Freepick|Rexxar - Conquest of Azeroth|Vol'jin - Conquest of Azeroth	conquest-of-azeroth|free-pick|season-10-freepick|season-10-wildcard|warcraft-reborn	11	18	2026-04-30	2026-08-28	FADING
worldforged	278843	23	22	Western Plaguelands	0	0.4094	0.6280	1566.2	-1344.0	Vol'jin - Conquest of Azeroth	conquest-of-azeroth	1	2	2026-07-07	2026-07-15	FADING
worldforged	278843	24	23	Eastern Plaguelands	0	0.3999	0.2213	3109.1	-3899.0	Rexxar - Conquest of Azeroth	conquest-of-azeroth	2	11	2026-08-04	2026-08-04	FADING
worldforged	278844	23	22	Western Plaguelands	0	0.4350	0.6932	1379.3	-1454.0	Area 52 - Free-Pick|Bronzebeard - Warcraft Reborn|Darkmoon - Season 10 Wildcard|Dawnrise - Season 10 Freepick|Rexxar - Conquest of Azeroth|Vol'jin - Conquest of Azeroth	conquest-of-azeroth|free-pick|season-10-freepick|season-10-wildcard|warcraft-reborn	10	20	2026-04-28	2026-08-28	FADING
worldforged	278845	23	22	Western Plaguelands	0	0.4813	0.6992	1362.1	-1653.2	Area 52 - Free-Pick|Bronzebeard - Warcraft Reborn|Darkmoon - Season 10 Wildcard|Dawnrise - Season 10 Freepick|Rexxar - Conquest of Azeroth|Vol'jin - Conquest of Azeroth	conquest-of-azeroth|free-pick|season-10-freepick|season-10-wildcard|warcraft-reborn	11	20	2025-10-15	2026-08-28	FADING
worldforged	278846	23	22	Western Plaguelands	0	0.4800	0.7800	1130.5	-1647.5	Vol'jin - Conquest of Azeroth	conquest-of-azeroth	1	2	2026-07-08	2026-07-08	FADING
worldforged	278846	24	23	Eastern Plaguelands	0	0.0000	0.0000	3704.0	-2287.0	Rexxar - Conquest of Azeroth|Vol'jin - Conquest of Azeroth	conquest-of-azeroth	2	12	2026-07-11	2026-08-21	FADING
worldforged	278846	24	23	Eastern Plaguelands	0	0.4874	0.3705	2708.0	-4251.8	Area 52 - Free-Pick|Darkmoon - Season 10 Wildcard|Dawnrise - Season 10 Freepick|Vol'jin - Conquest of Azeroth	conquest-of-azeroth|free-pick|season-10-freepick|season-10-wildcard	5	9	2026-07-07	2026-07-19	CONFIRMED
worldforged	278847	23	22	Western Plaguelands	0	0.5200	0.8200	1015.9	-1819.5	Area 52 - Free-Pick|Bronzebeard - Warcraft Reborn|Darkmoon - Season 10 Wildcard|Dawnrise - Season 10 Freepick|Rexxar - Conquest of Azeroth|Vol'jin - Conquest of Azeroth	conquest-of-azeroth|free-pick|season-10-freepick|season-10-wildcard|warcraft-reborn	6	15	2025-10-15	2026-05-20	STALE
worldforged	278848	23	22	Western Plaguelands	0	0.5315	0.6629	1466.2	-1868.9	Area 52 - Free-Pick|Darkmoon - Season 10 Wildcard|Dawnrise - Season 10 Freepick|Rexxar - Conquest of Azeroth|Vol'jin - Conquest of Azeroth	conquest-of-azeroth|free-pick|season-10-freepick|season-10-wildcard	9	19	2025-10-09	2026-08-29	FADING
worldforged	278849	23	22	Western Plaguelands	0	0.5413	0.8077	1051.2	-1911.2	Bronzebeard - Warcraft Reborn|Rexxar - Conquest of Azeroth|Vol'jin - Conquest of Azeroth	conquest-of-azeroth|warcraft-reborn	5	8	2025-10-15	2026-07-30	FADING
worldforged	278849	23	22	Western Plaguelands	0	0.5432	0.8048	1059.5	-1919.2	Area 52 - Free-Pick|Darkmoon - Season 10 Wildcard|Dawnrise - Season 10 Freepick|Rexxar - Conquest of Azeroth|Vol'jin - Conquest of Azeroth	conquest-of-azeroth|free-pick|season-10-freepick|season-10-wildcard	6	14	2025-10-15	2026-08-27	FADING
worldforged	278850	23	22	Western Plaguelands	0	0.6113	0.8390	961.4	-2212.0	Area 52 - Free-Pick|Bronzebeard - Warcraft Reborn|Darkmoon - Season 10 Wildcard|Dawnrise - Season 10 Freepick|Rexxar - Conquest of Azeroth|Vol'jin - Conquest of Azeroth	conquest-of-azeroth|free-pick|season-10-freepick|season-10-wildcard|warcraft-reborn	6	16	2025-10-09	2026-05-20	STALE
worldforged	278850	27	26	The Hinterlands	0	0.1600	0.1900	978.5	-2191.0	Rexxar - Conquest of Azeroth	conquest-of-azeroth	1	11	2026-07-08	2026-07-08	FADING
worldforged	278851	23	22	Western Plaguelands	0	0.6533	0.7389	1248.4	-2392.5	Area 52 - Free-Pick|Bronzebeard - Warcraft Reborn|Darkmoon - Season 10 Wildcard|Dawnrise - Season 10 Freepick|Rexxar - Conquest of Azeroth|Vol'jin - Conquest of Azeroth	conquest-of-azeroth|free-pick|season-10-freepick|season-10-wildcard|warcraft-reborn	12	20	2025-10-09	2026-08-28	CONFIRMED
worldforged	278852	23	22	Western Plaguelands	0	0.6813	0.7813	1126.8	-2512.7	Area 52 - Free-Pick|Bronzebeard - Warcraft Reborn|Darkmoon - Season 10 Wildcard|Dawnrise - Season 10 Freepick|Rexxar - Conquest of Azeroth|Vol'jin - Conquest of Azeroth	conquest-of-azeroth|free-pick|season-10-freepick|season-10-wildcard|warcraft-reborn	10	20	2025-10-09	2026-08-29	STALE
worldforged	278853	23	22	Western Plaguelands	0	0.6897	0.7393	1247.1	-2549.2	Area 52 - Free-Pick|Bronzebeard - Warcraft Reborn|Darkmoon - Season 10 Wildcard|Dawnrise - Season 10 Freepick|Rexxar - Conquest of Azeroth|Vol'jin - Conquest of Azeroth	conquest-of-azeroth|free-pick|season-10-freepick|season-10-wildcard|warcraft-reborn	8	20	2025-10-09	2026-08-25	FADING
worldforged	354059	1241	1240	Sunstrider Isle	530	0.3994	0.6389	10151.8	-6022.4	Vol'jin - Conquest of Azeroth	conquest-of-azeroth	1	1	2025-12-02	2025-12-02	CONFIRMED
worldforged	354064	1242	1241	Ammen Vale	530	0.7111	0.7110	-4466.3	-14107.9	Rexxar - Conquest of Azeroth|Vol'jin - Conquest of Azeroth	conquest-of-azeroth	2	8	2025-12-18	2025-12-18	CONFIRMED
worldforged	354066	122	121	Feralas	1	0.4000	0.2300	-3431.8	2661.4	Rexxar - Conquest of Azeroth|Vol'jin - Conquest of Azeroth	conquest-of-azeroth	2	12	2026-07-08	2026-07-08	FADING
worldforged	354066	465	464	Azuremyst Isle	530	0.3740	0.5045	-4162.7	-12022.2	Rexxar - Conquest of Azeroth|Vol'jin - Conquest of Azeroth	conquest-of-azeroth	2	8	2025-11-24	2025-11-24	CONFIRMED
worldforged	354068	1242	1241	Ammen Vale	530	0.2840	0.1245	-3755.1	-13331.1	Area 52 - Free-Pick	free-pick	1	1	2026-08-08	2026-08-08	UNCONFIRMED
worldforged	354069	463	462	Eversong Woods	530	0.5042	0.6117	9032.8	-6970.2	Vol'jin - Conquest of Azeroth	conquest-of-azeroth	1	1	2026-02-14	2026-02-14	CONFIRMED
worldforged	354071	463	462	Eversong Woods	530	0.5329	0.7000	8742.9	-7111.5	Vol'jin - Conquest of Azeroth	conquest-of-azeroth	1	4	2025-11-24	2025-11-24	CONFIRMED
worldforged	354077	463	462	Eversong Woods	530	0.4416	0.5304	9299.7	-6661.9	Vol'jin - Conquest of Azeroth	conquest-of-azeroth	1	1	2025-12-02	2025-12-02	CONFIRMED
worldforged	354078	463	462	Eversong Woods	530	0.3544	0.5915	9099.1	-6232.4	Vol'jin - Conquest of Azeroth	conquest-of-azeroth	1	4	2025-12-25	2025-12-25	CONFIRMED
worldforged	354079	17	16	Arathi Highlands	0	0.4357	0.7126	-1843.2	-2434.5	Vol'jin - Conquest of Azeroth	conquest-of-azeroth	1	1	2025-11-21	2025-11-21	CONFIRMED
worldforged	354079	463	462	Eversong Woods	530	0.4357	0.7136	8698.3	-6632.8	Vol'jin - Conquest of Azeroth	conquest-of-azeroth	1	4	2025-12-25	2025-12-25	CONFIRMED
worldforged	354090	1211	1210	Stillpine Hold	1	0.4449	0.7868	-3258.3	-12458.8	Rexxar - Conquest of Azeroth|Vol'jin - Conquest of Azeroth	conquest-of-azeroth	2	9	2026-01-21	2026-01-21	CONFIRMED
worldforged	354096	465	464	Azuremyst Isle	530	0.4218	0.0574	-2948.8	-12216.7	Area 52 - Free-Pick	free-pick	1	1	2026-08-08	2026-08-08	UNCONFIRMED
worldforged	354097	21	20	Tirisfal Glades	0	0.3618	0.6164	1979.8	1398.4	Bronzebeard - Warcraft Reborn|Vol'jin - Conquest of Azeroth	conquest-of-azeroth|warcraft-reborn	2	2	2025-12-31	2026-05-02	CONFIRMED
worldforged	354097	21	20	Tirisfal Glades	0	0.5455	0.5239	2258.5	568.4	Rexxar - Conquest of Azeroth	conquest-of-azeroth	2	8	2026-08-10	2026-08-10	CONFIRMED
worldforged	354097	21	20	Tirisfal Glades	0	0.6035	0.4923	2353.7	306.4	Rexxar - Conquest of Azeroth	conquest-of-azeroth	1	2	2026-08-10	2026-08-10	CONFIRMED
worldforged	354097	21	20	Tirisfal Glades	0	0.6213	0.4823	2383.8	226.0	Rexxar - Conquest of Azeroth	conquest-of-azeroth	1	1	2026-08-10	2026-08-10	CONFIRMED
worldforged	354097	757	756	The Deadmines	36	0.5633	0.8917	-231.5	-798.6	Rexxar - Conquest of Azeroth	conquest-of-azeroth	1	8	2026-08-12	2026-08-12	CONFIRMED
worldforged	354097	1240	1239	Deathknell	0	0.6596	0.3974	1981.9	1429.2	Vol'jin - Conquest of Azeroth	conquest-of-azeroth	1	2	2025-10-04	2026-07-18	FADING
worldforged	354097	1240	1239	Deathknell	0	0.6898	0.4020	1978.5	1396.4	Area 52 - Free-Pick|Bronzebeard - Warcraft Reborn|Darkmoon - Season 10 Wildcard|Dawnrise - Season 10 Freepick|Rexxar - Conquest of Azeroth|Vol'jin - Conquest of Azeroth	conquest-of-azeroth|free-pick|season-10-freepick|season-10-wildcard|warcraft-reborn	10	18	2025-10-04	2026-08-30	FADING
worldforged	354097	1240	1239	Deathknell	0	0.6907	0.4108	1972.1	1395.3	Vol'jin - Conquest of Azeroth	conquest-of-azeroth	1	1	2025-10-04	2025-10-04	CONFIRMED
worldforged	354097	2022	2021	The Temple of Atal'Hakkar	109	0.7232	0.6075	-435.8	5.1	Rexxar - Conquest of Azeroth	conquest-of-azeroth	1	9	2026-08-17	2026-08-17	CONFIRMED
worldforged	354098	17	16	Arathi Highlands	0	0.2680	0.7379	-1904.0	-1830.8	Rexxar - Conquest of Azeroth	conquest-of-azeroth	1	6	2026-08-22	2026-08-22	CONFIRMED
worldforged	354098	21	20	Tirisfal Glades	0	0.3284	0.7135	1687.2	1549.3	Rexxar - Conquest of Azeroth|Vol'jin - Conquest of Azeroth	conquest-of-azeroth	2	15	2026-07-11	2026-07-11	FADING
worldforged	354098	22	21	Silverpine Forest	0	0.5398	0.3205	768.9	1182.8	Rexxar - Conquest of Azeroth	conquest-of-azeroth	1	10	2026-08-14	2026-08-14	CONFIRMED
worldforged	354098	23	22	Western Plaguelands	0	0.4802	0.6461	1514.3	-1648.4	Rexxar - Conquest of Azeroth	conquest-of-azeroth	1	10	2026-08-12	2026-08-12	CONFIRMED
worldforged	354098	762	761	Razorfen Kraul	47	0.6827	0.3643	2171.1	1555.9	Rexxar - Conquest of Azeroth	conquest-of-azeroth	1	7	2026-08-21	2026-08-21	CONFIRMED
worldforged	354098	1240	1239	Deathknell	0	0.5390	0.7721	1709.5	1560.6	Vol'jin - Conquest of Azeroth	conquest-of-azeroth	1	2	2025-10-27	2026-07-18	FADING
worldforged	354098	1240	1239	Deathknell	0	0.5481	0.8023	1687.5	1550.7	Area 52 - Free-Pick|Bronzebeard - Warcraft Reborn|Darkmoon - Season 10 Wildcard|Dawnrise - Season 10 Freepick|Rexxar - Conquest of Azeroth|Vol'jin - Conquest of Azeroth	conquest-of-azeroth|free-pick|season-10-freepick|season-10-wildcard|warcraft-reborn	10	18	2025-10-27	2026-08-31	CONFIRMED
worldforged	354098	1244	1243	Valley of Trials	1	0.5068	0.4680	-421.2	-4325.8	Rexxar - Conquest of Azeroth	conquest-of-azeroth	1	12	2026-07-26	2026-07-26	FADING
worldforged	354099	21	20	Tirisfal Glades	0	0.3295	0.6294	1940.6	1544.3	Vol'jin - Conquest of Azeroth	conquest-of-azeroth	1	3	2026-07-11	2026-07-11	FADING
worldforged	354099	21	20	Tirisfal Glades	0	0.4370	0.5929	2050.6	1058.6	Rexxar - Conquest of Azeroth	conquest-of-azeroth	1	12	2026-07-11	2026-07-29	FADING
worldforged	354099	21	20	Tirisfal Glades	0	0.4765	0.6095	2000.7	880.2	Vol'jin - Conquest of Azeroth	conquest-of-azeroth	2	3	2026-07-11	2026-07-11	FADING
worldforged	354099	1240	1239	Deathknell	0	0.4228	0.5324	1883.7	1687.2	Dawnrise - Season 10 Freepick	season-10-freepick	1	1	2025-10-04	2026-08-01	CONFIRMED
worldforged	354099	1240	1239	Deathknell	0	0.5216	0.4360	1953.8	1579.6	Area 52 - Free-Pick|Darkmoon - Season 10 Wildcard	free-pick|season-10-wildcard	2	2	2025-10-04	2026-05-26	CONFIRMED
worldforged	354099	1240	1239	Deathknell	0	0.5533	0.4579	1937.9	1545.0	Bronzebeard - Warcraft Reborn|Rexxar - Conquest of Azeroth|Vol'jin - Conquest of Azeroth	conquest-of-azeroth|warcraft-reborn	5	6	2025-10-04	2026-08-15	CONFIRMED
worldforged	354099	1240	1239	Deathknell	0	0.5559	0.4578	1937.9	1542.2	Rexxar - Conquest of Azeroth|Vol'jin - Conquest of Azeroth	conquest-of-azeroth	2	10	2025-10-04	2026-09-01	FADING
worldforged	354099	1240	1239	Deathknell	0	0.5734	0.4335	1955.6	1523.1	Vol'jin - Conquest of Azeroth	conquest-of-azeroth	1	5	2025-10-04	2026-08-28	CONFIRMED
worldforged	354100	10	9	Mulgore	1	0.4003	0.5852	-2276.3	-8.9	Rexxar - Conquest of Azeroth	conquest-of-azeroth	1	11	2026-08-02	2026-08-02	FADING
worldforged	354100	21	20	Tirisfal Glades	0	0.3756	0.6791	1791.0	1336.2	Bronzebeard - Warcraft Reborn|Rexxar - Conquest of Azeroth|Vol'jin - Conquest of Azeroth	conquest-of-azeroth|warcraft-reborn	3	15	2026-05-02	2026-07-12	FADING
worldforged	354100	1240	1239	Deathknell	0	0.7337	0.6622	1789.4	1348.5	Bronzebeard - Warcraft Reborn	warcraft-reborn	1	1	2026-08-04	2026-08-04	UNCONFIRMED
worldforged	354100	1240	1239	Deathknell	0	0.7356	0.6969	1764.1	1346.4	Dawnrise - Season 10 Freepick	season-10-freepick	1	1	2025-10-09	2026-08-01	FADING
worldforged	354100	1240	1239	Deathknell	0	0.7434	0.6598	1791.1	1337.9	Area 52 - Free-Pick|Bronzebeard - Warcraft Reborn|Darkmoon - Season 10 Wildcard|Rexxar - Conquest of Azeroth|Vol'jin - Conquest of Azeroth	conquest-of-azeroth|free-pick|season-10-wildcard|warcraft-reborn	9	18	2025-10-09	2026-08-30	CONFIRMED
worldforged	354100	1240	1239	Deathknell	0	0.7533	0.6896	1769.4	1327.1	Vol'jin - Conquest of Azeroth	conquest-of-azeroth	1	4	2025-10-09	2026-08-28	FADING
worldforged	354101	18	17	Badlands	0	0.3006	0.2576	-6316.1	-2826.6	Bronzebeard - Warcraft Reborn|Rexxar - Conquest of Azeroth|Vol'jin - Conquest of Azeroth	conquest-of-azeroth|warcraft-reborn	3	15	2026-07-06	2026-07-06	FADING
worldforged	354101	21	20	Tirisfal Glades	0	0.2391	0.5811	2086.1	1952.7	Vol'jin - Conquest of Azeroth	conquest-of-azeroth	1	5	2026-07-11	2026-07-11	FADING
worldforged	354101	21	20	Tirisfal Glades	0	0.4954	0.5203	2269.3	794.8	Rexxar - Conquest of Azeroth	conquest-of-azeroth	1	12	2026-07-11	2026-07-11	FADING
worldforged	354101	27	26	The Hinterlands	0	0.3079	0.2639	788.8	-2760.4	Rexxar - Conquest of Azeroth|Vol'jin - Conquest of Azeroth	conquest-of-azeroth	2	8	2025-11-05	2025-11-05	CONFIRMED
worldforged	354101	30	29	Burning Steppes	0	0.3097	0.2551	-7529.0	-1173.1	Bronzebeard - Warcraft Reborn|Rexxar - Conquest of Azeroth|Vol'jin - Conquest of Azeroth	conquest-of-azeroth|warcraft-reborn	3	15	2026-07-03	2026-07-03	FADING
worldforged	354101	1213	1212	Night Web's Hollow	0	0.3035	0.2606	2085.1	1953.2	Bronzebeard - Warcraft Reborn|Rexxar - Conquest of Azeroth|Vol'jin - Conquest of Azeroth	conquest-of-azeroth|warcraft-reborn	7	11	2025-10-18	2026-08-17	FADING
worldforged	354101	1213	1212	Night Web's Hollow	0	0.3011	0.2669	2084.2	1953.8	Area 52 - Free-Pick|Darkmoon - Season 10 Wildcard|Dawnrise - Season 10 Freepick	free-pick|season-10-freepick|season-10-wildcard	3	2	2025-10-18	2026-05-26	FADING
worldforged	354101	1213	1212	Night Web's Hollow	0	0.3114	0.2603	2085.2	1951.5	Vol'jin - Conquest of Azeroth	conquest-of-azeroth	1	1	2025-10-18	2025-10-18	CONFIRMED
worldforged	354101	1213	1212	Night Web's Hollow	0	0.3198	0.2726	2083.3	1949.6	Rexxar - Conquest of Azeroth	conquest-of-azeroth	1	10	2025-10-18	2026-08-31	FADING
worldforged	354101	1213	1212	Night Web's Hollow	0	0.3357	0.3450	2072.7	1946.1	Bronzebeard - Warcraft Reborn	warcraft-reborn	1	1	2026-08-04	2026-08-04	UNCONFIRMED
worldforged	354101	1240	1239	Deathknell	0	0.2025	0.5794	1849.6	1927.3	Vol'jin - Conquest of Azeroth	conquest-of-azeroth	1	1	2025-11-29	2025-11-29	CONFIRMED
worldforged	354101	1240	1239	Deathknell	0	0.7458	0.6582	1792.3	1335.3	Rexxar - Conquest of Azeroth	conquest-of-azeroth	1	12	2026-07-26	2026-07-26	FADING
worldforged	354112	477	476	Bloodmyst Isle	530	0.1813	0.2900	-1388.8	-10666.4	Vol'jin - Conquest of Azeroth	conquest-of-azeroth	1	1	2025-12-21	2025-12-21	CONFIRMED
worldforged	354126	477	476	Bloodmyst Isle	530	0.3446	0.3369	-1490.8	-11199.1	Rexxar - Conquest of Azeroth|Vol'jin - Conquest of Azeroth	conquest-of-azeroth	2	7	2026-02-14	2026-02-14	CONFIRMED
worldforged	354127	82	81	Stonetalon Mountains	1	0.3903	0.0913	2618.8	1339.5	Area 52 - Free-Pick|Bronzebeard - Warcraft Reborn|Darkmoon - Season 10 Wildcard|Dawnrise - Season 10 Freepick|Rexxar - Conquest of Azeroth|Vol'jin - Conquest of Azeroth	conquest-of-azeroth|free-pick|season-10-freepick|season-10-wildcard|warcraft-reborn	10	20	2025-10-05	2026-08-28	FADING
worldforged	354128	82	81	Stonetalon Mountains	1	0.2686	0.1295	2494.5	1933.7	Area 52 - Free-Pick|Bronzebeard - Warcraft Reborn|Darkmoon - Season 10 Wildcard|Dawnrise - Season 10 Freepick|Rexxar - Conquest of Azeroth|Vol'jin - Conquest of Azeroth	conquest-of-azeroth|free-pick|season-10-freepick|season-10-wildcard|warcraft-reborn	12	20	2025-10-05	2026-08-28	FADING
worldforged	354130	82	81	Stonetalon Mountains	1	0.6669	0.5086	1260.4	-10.8	Area 52 - Free-Pick|Darkmoon - Season 10 Wildcard|Dawnrise - Season 10 Freepick|Rexxar - Conquest of Azeroth|Vol'jin - Conquest of Azeroth	conquest-of-azeroth|free-pick|season-10-freepick|season-10-wildcard	11	20	2025-10-05	2026-08-26	FADING
worldforged	354131	82	81	Stonetalon Mountains	1	0.5899	0.6267	876.1	365.3	Area 52 - Free-Pick|Bronzebeard - Warcraft Reborn|Darkmoon - Season 10 Wildcard|Dawnrise - Season 10 Freepick|Rexxar - Conquest of Azeroth|Vol'jin - Conquest of Azeroth	conquest-of-azeroth|free-pick|season-10-freepick|season-10-wildcard|warcraft-reborn	11	18	2026-04-26	2026-09-04	FADING
worldforged	354131	82	81	Stonetalon Mountains	1	0.6010	0.6143	916.5	310.9	Vol'jin - Conquest of Azeroth	conquest-of-azeroth	1	2	2026-05-23	2026-07-18	FADING
worldforged	354132	82	81	Stonetalon Mountains	1	0.7819	0.4100	1581.5	-572.2	Area 52 - Free-Pick|Darkmoon - Season 10 Wildcard|Dawnrise - Season 10 Freepick|Vol'jin - Conquest of Azeroth	conquest-of-azeroth|free-pick|season-10-freepick|season-10-wildcard	4	4	2025-10-05	2026-05-25	FADING
