type	item	pins	zones	maps	realms	records	first_seen	last_seen
worldforged	278849	2	Western Plaguelands	0	Area 52 - Free-Pick|Bronzebeard - Warcraft Reborn|Darkmoon - Season 10 Wildcard|Dawnrise - Season 10 Freepick|Rexxar - Conquest of Azeroth|Vol'jin - Conquest of Azeroth	11	2025-10-15	2026-08-27
worldforged	278850	2	The Hinterlands|Western Plaguelands	0	Area 52 - Free-Pick|Bronzebeard - Warcraft Reborn|Darkmoon - Season 10 Wildcard|Dawnrise - Season 10 Freepick|Rexxar - Conquest of Azeroth|Vol'jin - Conquest of Azeroth	7	2025-10-09	2026-07-08
worldforged	278851	1	Western Plaguelands	0	Area 52 - Free-Pick|Bronzebeard - Warcraft Reborn|Darkmoon - Season 10 Wildcard|Dawnrise - Season 10 Freepick|Rexxar - Conquest of Azeroth|Vol'jin - Conquest of Azeroth	12	2025-10-09	2026-08-28
worldforged	278852	1	Western Plaguelands	0	Area 52 - Free-Pick|Bronzebeard - Warcraft Reborn|Darkmoon - Season 10 Wildcard|Dawnrise - Season 10 Freepick|Rexxar - Conquest of Azeroth|Vol'jin - Conquest of Azeroth	10	2025-10-09	2026-08-29
worldforged	278853	1	Western Plaguelands	0	Area 52 - Free-Pick|Bronzebeard - Warcraft Reborn|Darkmoon - Season 10 Wildcard|Dawnrise - Season 10 Freepick|Rexxar - Conquest of Azeroth|Vol'jin - Conquest of Azeroth	8	2025-10-09	2026-08-25
worldforged	354059	1	Sunstrider Isle	530	Vol'jin - Conquest of Azeroth	1	2025-12-02	2025-12-02
worldforged	354064	1	Ammen Vale	530	Rexxar - Conquest of Azeroth|Vol'jin - Conquest of Azeroth	2	2025-12-18	2025-12-18
worldforged	354066	2	Azuremyst Isle|Feralas	1|530	Rexxar - Conquest of Azeroth|Vol'jin - Conquest of Azeroth	4	2025-11-24	2026-07-08
worldforged	354068	1	Ammen Vale	530	Area 52 - Free-Pick	1	2026-08-08	2026-08-08
worldforged	354069	1	Eversong Woods	530	Vol'jin - Conquest of Azeroth	1	2026-02-14	2026-02-14
worldforged	354071	1	Eversong Woods	530	Vol'jin - Conquest of Azeroth	1	2025-11-24	2025-11-24
worldforged	354077	1	Eversong Woods	530	Vol'jin - Conquest of Azeroth	1	2025-12-02	2025-12-02
worldforged	354078	1	Eversong Woods	530	Vol'jin - Conquest of Azeroth	1	2025-12-25	2025-12-25
worldforged	354079	2	Arathi Highlands|Eversong Woods	0|530	Vol'jin - Conquest of Azeroth	2	2025-11-21	2025-12-25
worldforged	354090	1	Stillpine Hold	1	Rexxar - Conquest of Azeroth|Vol'jin - Conquest of Azeroth	2	2026-01-21	2026-01-21
worldforged	354096	1	Azuremyst Isle	530	Area 52 - Free-Pick	1	2026-08-08	2026-08-08
worldforged	354097	9	Deathknell|The Deadmines|The Temple of Atal'Hakkar|Tirisfal Glades	0|36|109	Area 52 - Free-Pick|Bronzebeard - Warcraft Reborn|Darkmoon - Season 10 Wildcard|Dawnrise - Season 10 Freepick|Rexxar - Conquest of Azeroth|Vol'jin - Conquest of Azeroth	20	2025-10-04	2026-08-30
worldforged	354098	8	Arathi Highlands|Deathknell|Razorfen Kraul|Silverpine Forest|Tirisfal Glades|Valley of Trials|Western Plaguelands	0|1|47	Area 52 - Free-Pick|Bronzebeard - Warcraft Reborn|Darkmoon - Season 10 Wildcard|Dawnrise - Season 10 Freepick|Rexxar - Conquest of Azeroth|Vol'jin - Conquest of Azeroth	18	2025-10-27	2026-08-31
worldforged	354099	8	Deathknell|Tirisfal Glades	0	Area 52 - Free-Pick|Bronzebeard - Warcraft Reborn|Darkmoon - Season 10 Wildcard|Dawnrise - Season 10 Freepick|Rexxar - Conquest of Azeroth|Vol'jin - Conquest of Azeroth	15	2025-10-04	2026-09-01
worldforged	354100	6	Deathknell|Mulgore|Tirisfal Glades	0|1	Area 52 - Free-Pick|Bronzebeard - Warcraft Reborn|Darkmoon - Season 10 Wildcard|Dawnrise - Season 10 Freepick|Rexxar - Conquest of Azeroth|Vol'jin - Conquest of Azeroth	16	2025-10-09	2026-08-30
worldforged	354101	12	Badlands|Burning Steppes|Deathknell|Night Web's Hollow|The Hinterlands|Tirisfal Glades	0	Area 52 - Free-Pick|Bronzebeard - Warcraft Reborn|Darkmoon - Season 10 Wildcard|Dawnrise - Season 10 Freepick|Rexxar - Conquest of Azeroth|Vol'jin - Conquest of Azeroth	25	2025-10-18	2026-08-31
worldforged	354112	1	Bloodmyst Isle	530	Vol'jin - Conquest of Azeroth	1	2025-12-21	2025-12-21
worldforged	354126	1	Bloodmyst Isle	530	Rexxar - Conquest of Azeroth|Vol'jin - Conquest of Azeroth	2	2026-02-14	2026-02-14
worldforged	354127	1	Stonetalon Mountains	1	Area 52 - Free-Pick|Bronzebeard - Warcraft Reborn|Darkmoon - Season 10 Wildcard|Dawnrise - Season 10 Freepick|Rexxar - Conquest of Azeroth|Vol'jin - Conquest of Azeroth	10	2025-10-05	2026-08-28
worldforged	354128	1	Stonetalon Mountains	1	Area 52 - Free-Pick|Bronzebeard - Warcraft Reborn|Darkmoon - Season 10 Wildcard|Dawnrise - Season 10 Freepick|Rexxar - Conquest of Azeroth|Vol'jin - Conquest of Azeroth	12	2025-10-05	2026-08-28
worldforged	354130	1	Stonetalon Mountains	1	Area 52 - Free-Pick|Darkmoon - Season 10 Wildcard|Dawnrise - Season 10 Freepick|Rexxar - Conquest of Azeroth|Vol'jin - Conquest of Azeroth	11	2025-10-05	2026-08-26
worldforged	354131	2	Stonetalon Mountains	1	Area 52 - Free-Pick|Bronzebeard - Warcraft Reborn|Darkmoon - Season 10 Wildcard|Dawnrise - Season 10 Freepick|Rexxar - Conquest of Azeroth|Vol'jin - Conquest of Azeroth	12	2026-04-26	2026-09-04
worldforged	354132	2	Stonetalon Mountains	1	Area 52 - Free-Pick|Bronzebeard - Warcraft Reborn|Darkmoon - Season 10 Wildcard|Dawnrise - Season 10 Freepick|Rexxar - Conquest of Azeroth|Vol'jin - Conquest of Azeroth	12	2025-10-05	2026-08-21
worldforged	354133	1	Stonetalon Mountains	1	Area 52 - Free-Pick|Bronzebeard - Warcraft Reborn|Darkmoon - Season 10 Wildcard|Dawnrise - Season 10 Freepick|Rexxar - Conquest of Azeroth|Vol'jin - Conquest of Azeroth	6	2025-10-19	2026-05-20
worldforged	354134	3	Stonetalon Mountains	1	Area 52 - Free-Pick|Bronzebeard - Warcraft Reborn|Darkmoon - Season 10 Wildcard|Dawnrise - Season 10 Freepick|Rexxar - Conquest of Azeroth|Vol'jin - Conquest of Azeroth	11	2025-10-05	2026-08-28
worldforged	354135	2	Stonetalon Mountains|Tanaris	1	Area 52 - Free-Pick|Bronzebeard - Warcraft Reborn|Darkmoon - Season 10 Wildcard|Dawnrise - Season 10 Freepick|Rexxar - Conquest of Azeroth|Vol'jin - Conquest of Azeroth	14	2025-10-05	2026-08-29
worldforged	354136	1	Stonetalon Mountains	1	Area 52 - Free-Pick|Bronzebeard - Warcraft Reborn|Darkmoon - Season 10 Wildcard|Dawnrise - Season 10 Freepick|Rexxar - Conquest of Azeroth|Vol'jin - Conquest of Azeroth	12	2025-10-05	2026-08-25
worldforged	354137	3	Stonetalon Mountains	1	Area 52 - Free-Pick|Bronzebeard - Warcraft Reborn|Darkmoon - Season 10 Wildcard|Dawnrise - Season 10 Freepick|Rexxar - Conquest of Azeroth|Vol'jin - Conquest of Azeroth	13	2025-10-05	2026-08-27
worldforged	354138	2	Stonetalon Mountains	1	Area 52 - Free-Pick|Bronzebeard - Warcraft Reborn|Darkmoon - Season 10 Wildcard|Dawnrise - Season 10 Freepick|Rexxar - Conquest of Azeroth|Vol'jin - Conquest of Azeroth	10	2025-10-05	2026-08-26
worldforged	354139	3	Stonetalon Mountains|The Barrens	1	Area 52 - Free-Pick|Bronzebeard - Warcraft Reborn|Darkmoon - Season 10 Wildcard|Dawnrise - Season 10 Freepick|Rexxar - Conquest of Azeroth|Vol'jin - Conquest of Azeroth	15	2025-10-05	2026-08-28
worldforged	354140	3	Stonetalon Mountains|The Barrens	1	Area 52 - Free-Pick|Bronzebeard - Warcraft Reborn|Darkmoon - Season 10 Wildcard|Dawnrise - Season 10 Freepick|Rexxar - Conquest of Azeroth|Vol'jin - Conquest of Azeroth	15	2025-10-15	2026-08-29
worldforged	354141	1	Stonetalon Mountains	1	Area 52 - Free-Pick|Bronzebeard - Warcraft Reborn|Darkmoon - Season 10 Wildcard|Dawnrise - Season 10 Freepick|Rexxar - Conquest of Azeroth|Vol'jin - Conquest of Azeroth	10	2025-10-05	2026-08-27
worldforged	354142	1	Stonetalon Mountains	1	Area 52 - Free-Pick|Bronzebeard - Warcraft Reborn|Darkmoon - Season 10 Wildcard|Dawnrise - Season 10 Freepick|Rexxar - Conquest of Azeroth|Vol'jin - Conquest of Azeroth	12	2025-10-05	2026-08-28
worldforged	354143	2	Stonetalon Mountains|The Barrens	1	Area 52 - Free-Pick|Bronzebeard - Warcraft Reborn|Darkmoon - Season 10 Wildcard|Dawnrise - Season 10 Freepick|Rexxar - Conquest of Azeroth|Vol'jin - Conquest of Azeroth	15	2025-10-10	2026-08-28
worldforged	354144	4	Blackrock Depths|Stonetalon Mountains|The Barrens	1|230	Area 52 - Free-Pick|Bronzebeard - Warcraft Reborn|Darkmoon - Season 10 Wildcard|Dawnrise - Season 10 Freepick|Rexxar - Conquest of Azeroth|Vol'jin - Conquest of Azeroth	18	2025-10-05	2026-08-29
worldforged	354146	3	Burning Steppes|Silithus|Wetlands	0|1	Area 52 - Free-Pick|Bronzebeard - Warcraft Reborn|Darkmoon - Season 10 Wildcard|Dawnrise - Season 10 Freepick|Rexxar - Conquest of Azeroth|Vol'jin - Conquest of Azeroth	11	2025-10-14	2026-08-19
worldforged	354147	2	Wetlands	0	Area 52 - Free-Pick|Bronzebeard - Warcraft Reborn|Darkmoon - Season 10 Wildcard|Dawnrise - Season 10 Freepick|Rexxar - Conquest of Azeroth|Vol'jin - Conquest of Azeroth	10	2025-10-09	2026-08-30
worldforged	354148	2	Westfall|Wetlands	0	Area 52 - Free-Pick|Bronzebeard - Warcraft Reborn|Darkmoon - Season 10 Wildcard|Dawnrise - Season 10 Freepick|Rexxar - Conquest of Azeroth|Vol'jin - Conquest of Azeroth	12	2025-10-04	2026-08-28
worldforged	354149	8	Alterac Mountains|Ashenvale|Loch Modan|Razorfen Kraul|Stranglethorn Vale|Wetlands	0|1|47	Area 52 - Free-Pick|Bronzebeard - Warcraft Reborn|Darkmoon - Season 10 Wildcard|Dawnrise - Season 10 Freepick|Rexxar - Conquest of Azeroth|Vol'jin - Conquest of Azeroth	22	2025-10-04	2026-08-22
worldforged	354150	2	Stranglethorn Vale|Wetlands	0	Area 52 - Free-Pick|Bronzebeard - Warcraft Reborn|Darkmoon - Season 10 Wildcard|Dawnrise - Season 10 Freepick|Rexxar - Conquest of Azeroth|Vol'jin - Conquest of Azeroth	8	2025-10-04	2026-08-22
worldforged	354151	2	Wetlands	0	Area 52 - Free-Pick|Bronzebeard - Warcraft Reborn|Darkmoon - Season 10 Wildcard|Dawnrise - Season 10 Freepick|Rexxar - Conquest of Azeroth|Vol'jin - Conquest of Azeroth	10	2025-10-04	2026-08-28
worldforged	354152	2	Wetlands	0	Area 52 - Free-Pick|Bronzebeard - Warcraft Reborn|Darkmoon - Season 10 Wildcard|Dawnrise - Season 10 Freepick|Rexxar - Conquest of Azeroth|Vol'jin - Conquest of Azeroth	11	2025-10-05	2026-08-27
worldforged	354153	1	Wetlands	0	Area 52 - Free-Pick|Bronzebeard - Warcraft Reborn|Darkmoon - Season 10 Wildcard|Dawnrise - Season 10 Freepick|Rexxar - Conquest of Azeroth|Vol'jin - Conquest of Azeroth	12	2025-10-04	2026-08-23
worldforged	354154	4	Wetlands	0	Area 52 - Free-Pick|Bronzebeard - Warcraft Reborn|Darkmoon - Season 10 Wildcard|Dawnrise - Season 10 Freepick|Rexxar - Conquest of Azeroth|Vol'jin - Conquest of Azeroth	11	2025-10-20	2026-08-28
worldforged	354157	1	Elwynn Forest	0	Rexxar - Conquest of Azeroth|Vol'jin - Conquest of Azeroth	5	2026-07-21	2026-08-12
worldforged	354158	5	Ammen Vale|Azuremyst Isle|Coldridge Pass|Dun Morogh|Elwynn Forest	0|530	Area 52 - Free-Pick	5	2026-08-08	2026-08-08
worldforged	354159	3	Desolace|Durotar|The Barrens	1	Area 52 - Free-Pick|Bronzebeard - Warcraft Reborn|Darkmoon - Season 10 Wildcard|Dawnrise - Season 10 Freepick|Rexxar - Conquest of Azeroth|Vol'jin - Conquest of Azeroth	11	2025-10-05	2026-08-29
worldforged	354160	2	Desolace|The Barrens	1	Area 52 - Free-Pick|Bronzebeard - Warcraft Reborn|Darkmoon - Season 10 Wildcard|Dawnrise - Season 10 Freepick|Rexxar - Conquest of Azeroth|Vol'jin - Conquest of Azeroth	12	2025-10-05	2026-08-29
worldforged	354161	1	Desolace	1	Area 52 - Free-Pick|Bronzebeard - Warcraft Reborn|Darkmoon - Season 10 Wildcard|Dawnrise - Season 10 Freepick|Rexxar - Conquest of Azeroth|Vol'jin - Conquest of Azeroth	9	2025-10-14	2026-08-29
worldforged	354162	2	Desolace|Dustwallow Marsh	1	Area 52 - Free-Pick|Darkmoon - Season 10 Wildcard|Dawnrise - Season 10 Freepick|Rexxar - Conquest of Azeroth|Vol'jin - Conquest of Azeroth	15	2026-04-30	2026-08-26
worldforged	354163	1	Desolace	1	Area 52 - Free-Pick|Bronzebeard - Warcraft Reborn|Darkmoon - Season 10 Wildcard|Dawnrise - Season 10 Freepick|Rexxar - Conquest of Azeroth|Vol'jin - Conquest of Azeroth	11	2025-10-14	2026-08-29
worldforged	354164	1	Desolace	1	Area 52 - Free-Pick|Bronzebeard - Warcraft Reborn|Darkmoon - Season 10 Wildcard|Dawnrise - Season 10 Freepick|Rexxar - Conquest of Azeroth|Vol'jin - Conquest of Azeroth	10	2025-10-05	2026-08-29
worldforged	354165	3	Desolace|Dustwallow Marsh	1	Area 52 - Free-Pick|Darkmoon - Season 10 Wildcard|Dawnrise - Season 10 Freepick|Rexxar - Conquest of Azeroth|Vol'jin - Conquest of Azeroth	9	2025-10-04	2026-08-24
worldforged	354166	2	Desolace|The Barrens	1	Area 52 - Free-Pick|Bronzebeard - Warcraft Reborn|Darkmoon - Season 10 Wildcard|Dawnrise - Season 10 Freepick|Rexxar - Conquest of Azeroth|Vol'jin - Conquest of Azeroth	12	2025-10-30	2026-08-29
worldforged	354167	1	Desolace	1	Area 52 - Free-Pick|Bronzebeard - Warcraft Reborn|Darkmoon - Season 10 Wildcard|Dawnrise - Season 10 Freepick|Rexxar - Conquest of Azeroth|Vol'jin - Conquest of Azeroth	6	2025-10-05	2026-05-20
worldforged	354168	3	Desolace|Dustwallow Marsh	1	Area 52 - Free-Pick|Bronzebeard - Warcraft Reborn|Darkmoon - Season 10 Wildcard|Dawnrise - Season 10 Freepick|Rexxar - Conquest of Azeroth|Vol'jin - Conquest of Azeroth	13	2025-10-05	2026-08-29
worldforged	354169	2	Desolace|Durotar	1	Area 52 - Free-Pick|Bronzebeard - Warcraft Reborn|Darkmoon - Season 10 Wildcard|Dawnrise - Season 10 Freepick|Rexxar - Conquest of Azeroth|Vol'jin - Conquest of Azeroth	14	2025-10-05	2026-08-27
worldforged	354170	3	Desolace|Durotar	1	Area 52 - Free-Pick|Bronzebeard - Warcraft Reborn|Darkmoon - Season 10 Wildcard|Dawnrise - Season 10 Freepick|Rexxar - Conquest of Azeroth|Vol'jin - Conquest of Azeroth	17	2025-10-05	2026-08-29
worldforged	354171	1	Desolace	1	Area 52 - Free-Pick|Darkmoon - Season 10 Wildcard|Dawnrise - Season 10 Freepick|Rexxar - Conquest of Azeroth|Vol'jin - Conquest of Azeroth	8	2026-05-25	2026-08-25
worldforged	354172	3	Desolace|Dun Morogh|Dustwallow Marsh	0|1	Area 52 - Free-Pick|Bronzebeard - Warcraft Reborn|Darkmoon - Season 10 Wildcard|Dawnrise - Season 10 Freepick|Rexxar - Conquest of Azeroth|Vol'jin - Conquest of Azeroth	11	2025-10-05	2026-08-28
worldforged	354173	3	Desolace|Durotar|The Barrens	1	Area 52 - Free-Pick|Bronzebeard - Warcraft Reborn|Darkmoon - Season 10 Wildcard|Dawnrise - Season 10 Freepick|Rexxar - Conquest of Azeroth|Vol'jin - Conquest of Azeroth	18	2025-10-14	2026-08-27
worldforged	354174	4	Desolace|Dustwind Cave|The Barrens	1	Area 52 - Free-Pick|Bronzebeard - Warcraft Reborn|Darkmoon - Season 10 Wildcard|Dawnrise - Season 10 Freepick|Rexxar - Conquest of Azeroth|Vol'jin - Conquest of Azeroth	13	2025-10-19	2026-09-03
worldforged	354175	2	Desolace|Durotar	1	Area 52 - Free-Pick|Bronzebeard - Warcraft Reborn|Darkmoon - Season 10 Wildcard|Dawnrise - Season 10 Freepick|Rexxar - Conquest of Azeroth|Vol'jin - Conquest of Azeroth	11	2025-10-05	2026-08-27
worldforged	354176	1	Desolace	1	Area 52 - Free-Pick|Darkmoon - Season 10 Wildcard|Dawnrise - Season 10 Freepick|Rexxar - Conquest of Azeroth|Vol'jin - Conquest of Azeroth	9	2025-10-18	2026-08-25
worldforged	354177	2	Desolace|The Barrens	1	Area 52 - Free-Pick|Bronzebeard - Warcraft Reborn|Darkmoon - Season 10 Wildcard|Dawnrise - Season 10 Freepick|Rexxar - Conquest of Azeroth|Vol'jin - Conquest of Azeroth	12	2025-10-19	2026-08-29
worldforged	354178	1	Desolace	1	Area 52 - Free-Pick|Bronzebeard - Warcraft Reborn|Darkmoon - Season 10 Wildcard|Dawnrise - Season 10 Freepick|Rexxar - Conquest of Azeroth|Vol'jin - Conquest of Azeroth	10	2025-10-19	2026-08-31
worldforged	354179	2	Desolace|The Barrens	1	Area 52 - Free-Pick|Darkmoon - Season 10 Wildcard|Dawnrise - Season 10 Freepick|Rexxar - Conquest of Azeroth|Vol'jin - Conquest of Azeroth	11	2025-11-11	2026-08-27
worldforged	354180	2	Desolace	1	Area 52 - Free-Pick|Bronzebeard - Warcraft Reborn|Darkmoon - Season 10 Wildcard|Dawnrise - Season 10 Freepick|Rexxar - Conquest of Azeroth|Vol'jin - Conquest of Azeroth	11	2026-04-30	2026-08-26
worldforged	354181	2	Desolace|The Barrens	1	Area 52 - Free-Pick|Bronzebeard - Warcraft Reborn|Darkmoon - Season 10 Wildcard|Dawnrise - Season 10 Freepick|Rexxar - Conquest of Azeroth|Vol'jin - Conquest of Azeroth	12	2025-10-05	2026-08-31
worldforged	354182	2	Desolace	1	Area 52 - Free-Pick|Bronzebeard - Warcraft Reborn|Darkmoon - Season 10 Wildcard|Dawnrise - Season 10 Freepick|Rexxar - Conquest of Azeroth|Vol'jin - Conquest of Azeroth	11	2025-10-14	2026-08-28
worldforged	354183	2	Desolace	1	Area 52 - Free-Pick|Bronzebeard - Warcraft Reborn|Darkmoon - Season 10 Wildcard|Dawnrise - Season 10 Freepick|Rexxar - Conquest of Azeroth|Vol'jin - Conquest of Azeroth	11	2025-10-05	2026-08-26
worldforged	354184	3	Desolace|Dustwind Cave|The Barrens	1	Area 52 - Free-Pick|Bronzebeard - Warcraft Reborn|Darkmoon - Season 10 Wildcard|Dawnrise - Season 10 Freepick|Rexxar - Conquest of Azeroth|Vol'jin - Conquest of Azeroth	13	2025-10-05	2026-08-28
worldforged	354185	1	Desolace	1	Area 52 - Free-Pick|Bronzebeard - Warcraft Reborn|Darkmoon - Season 10 Wildcard|Dawnrise - Season 10 Freepick|Rexxar - Conquest of Azeroth|Vol'jin - Conquest of Azeroth	12	2025-10-14	2026-08-26
worldforged	354186	2	Desolace|The Barrens	1	Rexxar - Conquest of Azeroth|Vol'jin - Conquest of Azeroth	4	2025-11-11	2026-07-08
worldforged	354187	1	Desolace	1	Area 52 - Free-Pick|Bronzebeard - Warcraft Reborn|Darkmoon - Season 10 Wildcard|Dawnrise - Season 10 Freepick|Rexxar - Conquest of Azeroth|Vol'jin - Conquest of Azeroth	8	2025-10-19	2026-08-26
worldforged	354188	1	Desolace	1	Area 52 - Free-Pick|Bronzebeard - Warcraft Reborn|Darkmoon - Season 10 Wildcard|Dawnrise - Season 10 Freepick|Rexxar - Conquest of Azeroth|Vol'jin - Conquest of Azeroth	7	2025-10-05	2026-08-25
worldforged	354189	1	Desolace	1	Area 52 - Free-Pick|Bronzebeard - Warcraft Reborn|Darkmoon - Season 10 Wildcard|Dawnrise - Season 10 Freepick|Rexxar - Conquest of Azeroth|Vol'jin - Conquest of Azeroth	7	2025-10-11	2026-08-25
worldforged	354190	3	Desolace	1	Area 52 - Free-Pick|Darkmoon - Season 10 Wildcard|Dawnrise - Season 10 Freepick|Rexxar - Conquest of Azeroth|Vol'jin - Conquest of Azeroth	9	2025-10-05	2026-08-27
worldforged	354191	2	Desolace	1	Area 52 - Free-Pick|Bronzebeard - Warcraft Reborn|Darkmoon - Season 10 Wildcard|Dawnrise - Season 10 Freepick|Rexxar - Conquest of Azeroth|Vol'jin - Conquest of Azeroth	11	2025-10-05	2026-09-03
worldforged	354192	2	Desolace|The Barrens	1	Area 52 - Free-Pick|Bronzebeard - Warcraft Reborn|Darkmoon - Season 10 Wildcard|Dawnrise - Season 10 Freepick|Rexxar - Conquest of Azeroth|Vol'jin - Conquest of Azeroth	12	2025-10-04	2026-08-26
worldforged	354193	1	Desolace	1	Area 52 - Free-Pick|Bronzebeard - Warcraft Reborn|Darkmoon - Season 10 Wildcard|Dawnrise - Season 10 Freepick|Rexxar - Conquest of Azeroth|Vol'jin - Conquest of Azeroth	12	2026-06-21	2026-08-27
worldforged	354194	2	Desolace|Dustwallow Marsh	1	Area 52 - Free-Pick|Darkmoon - Season 10 Wildcard|Dawnrise - Season 10 Freepick|Rexxar - Conquest of Azeroth|Vol'jin - Conquest of Azeroth	16	2026-05-24	2026-08-25
worldforged	354195	2	Desolace|Dustwallow Marsh	1	Area 52 - Free-Pick|Bronzebeard - Warcraft Reborn|Darkmoon - Season 10 Wildcard|Dawnrise - Season 10 Freepick|Rexxar - Conquest of Azeroth|Vol'jin - Conquest of Azeroth	14	2025-10-04	2026-08-27
worldforged	354196	1	Desolace	1	Area 52 - Free-Pick|Darkmoon - Season 10 Wildcard|Dawnrise - Season 10 Freepick|Rexxar - Conquest of Azeroth|Vol'jin - Conquest of Azeroth	9	2025-10-05	2026-08-29
worldforged	354197	1	Desolace	1	Area 52 - Free-Pick|Bronzebeard - Warcraft Reborn|Darkmoon - Season 10 Wildcard|Dawnrise - Season 10 Freepick|Rexxar - Conquest of Azeroth|Vol'jin - Conquest of Azeroth	9	2025-10-05	2026-08-09
worldforged	354198	2	Desolace|Dustwallow Marsh	1	Area 52 - Free-Pick|Bronzebeard - Warcraft Reborn|Darkmoon - Season 10 Wildcard|Dawnrise - Season 10 Freepick|Rexxar - Conquest of Azeroth|Vol'jin - Conquest of Azeroth	10	2025-10-05	2026-08-25
