id	name	type	display_id	sightings	submissions	zones	example_zone	example_map_id	example_x	example_y	example_z	example_map_x	example_map_y	lock_id	lock_type	other_names	seen_in	zone_list	origin
102	Raven Hill	Generic	27	7	3	1	Duskwood	0	-10542.600	-1180.240	26.493	74.600	45.900				GameObjects-Bronzebeard | dumps_part2 | dumps_part4	Duskwood	stock
103	Deadwind Pass	Generic	27	7	3	1	Duskwood	0	-10541.700	-1181.690	27.835	74.600	45.800				GameObjects-Bronzebeard | dumps_part2 | dumps_part4	Duskwood	stock
104	Redridge	Generic	27	7	3	1	Duskwood	0	-10540.300	-1180.840	27.842	74.600	45.800				GameObjects-Bronzebeard | dumps_part2 | dumps_part4	Duskwood	stock
105	Stranglethorn	Generic	27	4	3	1	Duskwood	0	-10812.500	304.430	31.440	19.600	60.900				GameObjects-Bronzebeard | dumps_part2 | dumps_part4	Duskwood	stock
106	Westfall	Generic	27	4	3	1	Duskwood	0	-10813.300	306.680	31.474	19.500	60.900				GameObjects-Bronzebeard | dumps_part2 | dumps_part4	Duskwood	stock
107	Darkshire	Generic	27	4	3	1	Duskwood	0	-10812.500	304.343	30.052	19.600	60.900				GameObjects-Bronzebeard | dumps_part2 | dumps_part4	Duskwood	stock
108	Raven Hill	Generic	27	4	3	1	Duskwood	0	-10811.800	305.896	31.438	19.500	60.800				GameObjects-Bronzebeard | dumps_part2 | dumps_part4	Duskwood	stock
109	Westfall	Generic	27	4	3	1	Duskwood	0	-10891.900	-366.620	37.337	44.400	65.300				GameObjects-Bronzebeard | dumps_part2 | dumps_part4	Duskwood	stock
110	Stranglethorn	Generic	27	4	3	1	Duskwood	0	-10893.400	-367.545	38.745	44.500	65.400				GameObjects-Bronzebeard | dumps_part2 | dumps_part4	Duskwood	stock
111	Raven Hill	Generic	27	4	3	1	Duskwood	0	-10892.000	-366.709	38.729	44.400	65.300				GameObjects-Bronzebeard | dumps_part2 | dumps_part4	Duskwood	stock
112	Darkshire	Generic	27	4	3	1	Duskwood	0	-10892.600	-368.997	38.730	44.500	65.300				GameObjects-Bronzebeard | dumps_part2 | dumps_part4	Duskwood	stock
113	Duskwood	Generic	26	3	3	1	Redridge	0	-9590.620	-1929.100	63.488	16.500	70.100				GameObjects-Bronzebeard | dumps_part2 | dumps_part4	Redridge	stock
114	Lakeshire	Generic	26	3	3	1	Redridge	0	-9589.400	-1929.750	63.440	16.500	70.100				GameObjects-Bronzebeard | dumps_part2 | dumps_part4	Redridge	stock
115	Elwynn	Generic	26	3	3	1	Redridge	0	-9588.760	-1928.540	63.444	16.500	70.000				GameObjects-Bronzebeard | dumps_part2 | dumps_part4	Redridge	stock
116	Stonewatch Keep	Generic	26	3	3	1	Redridge	0	-9589.390	-1929.770	62.887	16.500	70.100				GameObjects-Bronzebeard | dumps_part2 | dumps_part4	Redridge	stock
117	Lakeshire	Generic	26	3	3	1	Redridge	0	-9635.470	-2087.190	61.253	23.800	73.200				GameObjects-Bronzebeard | dumps_part2 | dumps_part4	Redridge	stock
118	Stonewatch Keep	Generic	26	3	3	1	Redridge	0	-9637.230	-2086.350	61.294	23.700	73.400				GameObjects-Bronzebeard | dumps_part2 | dumps_part4	Redridge	stock
119	Abercrombie's Crate	Chest	18	4	3	1	Duskwood	0	-11091.000	-68.962	14.800	33.400	76.400				GameObjects-Bronzebeard | dumps_part2 | dumps_part4	Duskwood	stock
121	Duskwood	Generic	22	5	3	1	Westfall	0	-10924.200	995.367	34.954	57.800	65.300				GameObjects-Bronzebeard | dumps_part2 | dumps_part4	Westfall	stock
122	Sentinel Hill	Generic	22	5	3	1	Westfall	0	-10925.000	996.340	34.507	57.700	65.400				GameObjects-Bronzebeard | dumps_part2 | dumps_part4	Westfall	stock
123	Elwynn Forest	Generic	22	5	3	1	Westfall	0	-10924.800	996.455	35.677	57.700	65.300				GameObjects-Bronzebeard | dumps_part2 | dumps_part4	Westfall	stock
124	Moonbrook	Generic	22	5	3	1	Westfall	0	-10925.000	994.950	36.356	57.800	65.400				GameObjects-Bronzebeard | dumps_part2 | dumps_part4	Westfall	stock
130	Cog Chest	Generic	1056773	9	2	2	Ogrimmar	1	1578.020	-4394.880	7.293	50.900	74.400				dumps_part3 | dumps_part4	Ogrimmar | Stormwind	ascension
131	Cog Stack Small	Generic	1054661	13	4	3	Ogrimmar	1	1579.000	-4393.300	7.294	50.800	74.300				GameObjects-Bronzebeard | dumps_part2 | dumps_part3 | dumps_part4	Ogrimmar | Stormwind | Stranglethorn	ascension
153	Small Vials			4	3	1	Mulgore	1	-1821.880	339.324	207.814	33.300	45.200				GameObjects-Bronzebeard | dumps_part2 | dumps_part4	Mulgore	ascension
161	Poison Vial Big 2	Generic	1032254	3	3	1	WesternPlaguelands	0	1111.867	-1697.537	68.428	49.200	78.700				GameObjects-Bronzebeard | dumps_part2 | dumps_part4	WesternPlaguelands	ascension
165	Big Saw	Generic	84784	12	4	3	Alterac	0	-8299.590	1106.360	21.649	-11.500	525.000	0			GameObjects-Bronzebeard | dumps-part1 | dumps_part2 | dumps_part4	Alterac | DunMorogh | Stranglethorn	ascension
166	Tree Logs	Generic	84786	5	1	1	Alterac	0	-8286.790	1118.320	18.109	-12.000	524.300	0			dumps-part1	Alterac	ascension
173	Forge Blue Fire Brazier	Generic	8303	3	1	1	Hilsbrad	0	-1351.220	543.430	101.440	16.400	82.100				dumps_part2	Hilsbrad	ascension
174	Common Anvil	Generic	166	3	2	1	Tirisfal	0	1939.530	1545.600	90.165	32.900	63.000				GameObjects-Bronzebeard | dumps_part2	Tirisfal	ascension
211	Skeleton	Generic	69735	10	3	3	Badlands	0	-6965.080	-2858.033	241.788	31.300	64.900				GameObjects-Bronzebeard | dumps_part2 | dumps_part4	Badlands | Elwynn | Teldrassil	ascension
221	Chained Skeleton 03	Generic	86291	3	2	1	ThousandNeedles	1	-4997.830	-1997.200	-53.408	35.500	35.200				GameObjects-Bronzebeard | dumps_part2	ThousandNeedles	ascension
223	Chained Skeleton 04	Generic	86290	1	1	1	Ashenvale	1	3783.026	-142.148	0.680	31.900	23.200				dumps_part4	Ashenvale	ascension
224	Terokkar Web 04	Generic	75323	6	3	2	Tirisfal	0	2123.950	-716.879	66.794	83.000	56.900				GameObjects-Bronzebeard | dumps_part2 | dumps_part4	Tirisfal | WesternPlaguelands	ascension
256	WANTED	Questgiver	17	7	3	2	Azeroth	4294967295	-5343.250	-3022.680	324.188	52.000	60.800				GameObjects-Bronzebeard | dumps_part2 | dumps_part4	Azeroth | LochModan	stock
257	Suspicious Barrel	Questgiver	30	4	3	1	LochModan	0	-4730.980	-3539.810	302.685	56.100	13.200				GameObjects-Bronzebeard | dumps_part2 | dumps_part4	LochModan	stock
259	Half-buried Barrel	Questgiver	32	2	1	1	Wetlands	0	-3107.430	-966.177	7.884	13.900	34.800				dumps_part2	Wetlands	stock
261	Damaged Crate	Questgiver	31	3	2	1	Wetlands	0	-3288.320	-948.694	8.941	13.500	41.400				dumps_part2 | dumps_part4	Wetlands	stock
263	Kurzen Supplies	Chest	36	4	3	1	Stranglethorn	0	-11574.400	-593.415	27.932	44.100	9.500				GameObjects-Bronzebeard | dumps_part2 | dumps_part4	Stranglethorn	stock
264	Kurzen Supplies	Chest	36	4	3	1	Stranglethorn	0	-11582.300	-618.500	28.362	44.500	9.700				GameObjects-Bronzebeard | dumps_part2 | dumps_part4	Stranglethorn	stock
269	Guarded Thunder Ale Barrel	Questgiver	32	3	2	1	DunMorogh	0	-5607.080	-548.265	392.986	47.700	52.700				GameObjects-Bronzebeard | dumps_part2	DunMorogh	stock
271	Miners' League Crates	Chest	36	4	3	1	LochModan	0	-4967.330	-3007.320	318.483	36.700	26.100				GameObjects-Bronzebeard | dumps_part2 | dumps_part4	LochModan	stock
272	MacGrann's Meat Locker	Chest	1	4	3	1	DunMorogh	0	-5647.730	-94.758	418.112	38.500	53.900				GameObjects-Bronzebeard | dumps_part2 | dumps_part4	DunMorogh	stock
276	Shimmerweed Basket	Chest	644	4	3	1	DunMorogh	0	-5350.650	-229.047	441.569	41.200	44.900				GameObjects-Bronzebeard | dumps_part2 | dumps_part4	DunMorogh	stock
287	Bookie Herod's Records	Questgiver	43	4	3	1	Stranglethorn	0	-11567.500	-565.939	33.784	43.700	9.400				GameObjects-Bronzebeard | dumps_part2 | dumps_part4	Stranglethorn	stock
288	Bookie Herod's Strongbox	Questgiver	1	4	3	1	Stranglethorn	0	-11490.500	-945.307	29.399	49.600	7.600				GameObjects-Bronzebeard | dumps_part2 | dumps_part4	Stranglethorn	stock
290	Furlbrow's Wardrobe	Chest	4	1	1	1	Westfall	0	-9849.810	1290.180	41.887	49.300	19.300				dumps_part4	Westfall	stock
298	Thelsamar	Generic	26	7	3	2	Azeroth	4294967295	-5409.050	-2879.460	342.589	51.700	61.100				GameObjects-Bronzebeard | dumps_part2 | dumps_part4	Azeroth | LochModan	stock
299	Searing Gorge	Generic	26	7	3	2	Azeroth	4294967295	-5409.980	-2878.570	342.565	51.700	61.100				GameObjects-Bronzebeard | dumps_part2 | dumps_part4	Azeroth | LochModan	stock
301	Wetlands	Generic	26	7	3	2	Azeroth	4294967295	-5408.020	-2878.550	342.552	51.700	61.100				GameObjects-Bronzebeard | dumps_part2 | dumps_part4	Azeroth | LochModan	stock
302	Dun Morogh	Generic	26	7	3	2	Azeroth	4294967295	-5409.980	-2878.560	342.065	51.700	61.100				GameObjects-Bronzebeard | dumps_part2 | dumps_part4	Azeroth | LochModan	stock
303	Dun Morogh	Generic	26	4	3	1	LochModan	0	-4899.100	-2720.520	329.917	26.300	22.400				GameObjects-Bronzebeard | dumps_part2 | dumps_part4	LochModan	stock
304	Wetlands	Generic	26	4	3	1	LochModan	0	-4898.030	-2722.110	329.891	26.400	22.300				GameObjects-Bronzebeard | dumps_part2 | dumps_part4	LochModan	stock
305	Thelsamar	Generic	26	4	3	1	LochModan	0	-4899.370	-2721.830	329.864	26.400	22.400				GameObjects-Bronzebeard | dumps_part2 | dumps_part4	LochModan	stock
306	Thelsamar	Generic	26	4	3	1	LochModan	0	-5795.800	-2629.070	319.944	23.000	71.100				GameObjects-Bronzebeard | dumps_part2 | dumps_part4	LochModan	stock
307	Searing Gorge	Generic	26	4	3	1	LochModan	0	-5797.040	-2627.590	319.921	23.000	71.200				GameObjects-Bronzebeard | dumps_part2 | dumps_part4	LochModan	stock
308	Dun Morogh	Generic	26	4	3	1	LochModan	0	-5795.630	-2627.750	319.933	23.000	71.100				GameObjects-Bronzebeard | dumps_part2 | dumps_part4	LochModan	stock
309	Anvilmar	Generic	26	3	2	1	DunMorogh	0	-5594.030	-489.786	397.693	46.500	52.300				GameObjects-Bronzebeard | dumps_part2	DunMorogh	stock
310	Ironforge	Generic	26	3	2	1	DunMorogh	0	-5592.130	-489.765	397.682	46.500	52.200				GameObjects-Bronzebeard | dumps_part2	DunMorogh	stock
311	Loch Modan	Generic	26	4	3	1	DunMorogh	0	-5356.590	-529.636	391.713	47.300	45.100				GameObjects-Bronzebeard | dumps_part2 | dumps_part4	DunMorogh	stock
312	Kharanos	Generic	26	4	3	1	DunMorogh	0	-5357.910	-528.192	391.713	47.300	45.100				GameObjects-Bronzebeard | dumps_part2 | dumps_part4	DunMorogh	stock
313	Anvilmar	Generic	26	4	3	1	DunMorogh	0	-5357.880	-528.190	391.211	47.300	45.100				GameObjects-Bronzebeard | dumps_part2 | dumps_part4	DunMorogh	stock
314	Ironforge	Generic	26	4	3	1	DunMorogh	0	-5356.560	-528.312	391.688	47.300	45.100				GameObjects-Bronzebeard | dumps_part2 | dumps_part4	DunMorogh	stock
315	Ironforge	Generic	26	4	3	1	DunMorogh	0	-5263.360	-484.306	387.127	46.400	42.200				GameObjects-Bronzebeard | dumps_part2 | dumps_part4	DunMorogh	stock
316	Kharanos	Generic	26	4	3	1	DunMorogh	0	-5264.510	-483.682	387.144	46.400	42.300				GameObjects-Bronzebeard | dumps_part2 | dumps_part4	DunMorogh	stock
317	Anvilmar	Generic	26	4	3	1	DunMorogh	0	-5264.560	-483.690	386.592	46.400	42.300				GameObjects-Bronzebeard | dumps_part2 | dumps_part4	DunMorogh	stock
318	Loch Modan	Generic	26	4	3	1	DunMorogh	0	-5264.580	-483.697	386.039	46.400	42.300				GameObjects-Bronzebeard | dumps_part2 | dumps_part4	DunMorogh	stock
321	Tear of Tilloa	Chest	63	4	3	1	Duskwood	0	-10363.700	-1282.150	35.396	78.400	35.900				GameObjects-Bronzebeard | dumps_part2 | dumps_part4	Duskwood	stock
324	Small Thorium Vein	Chest	3951	30	4	11	BlastedLands	0	-10878.000	-2725.000	8.883	44.300	13.900				GameObjects-Bronzebeard | dumps_part2 | dumps_part3 | dumps_part4	BlastedLands | BurningSteppes | EasternPlaguelands | Hinterlands | SearingGorge | Silithus | SwampOfSorrows | Tanaris | UnGoroCrater | UngoroCrater | WesternPlaguelands	stock
331	Loose Soil	Chest	49	3	2	1	Wetlands	0	-3425.660	-1854.680	17.310	35.400	46.400				dumps_part2 | dumps_part4	Wetlands	stock
333	Ancient Relic	Chest	52	3	2	1	Wetlands	0	-3371.960	-1846.540	16.521	35.200	44.400				dumps_part2 | dumps_part4	Wetlands	stock
334	Ancient Relic	Chest	53	3	2	1	Wetlands	0	-3373.470	-1810.150	16.241	34.400	44.500				dumps_part2 | dumps_part4	Wetlands	stock
372	Battleground Shield	Generic	58	3	2	1	DunMorogh	0	-5577.320	-432.010	397.881	45.400	51.800				GameObjects-Bronzebeard | dumps_part2	DunMorogh	stock
375	Tirisfal Pumpkin	Chest	60	4	3	1	Tirisfal	0	2351.130	1324.590	33.333	37.800	49.300				GameObjects-Bronzebeard | dumps_part2 | dumps_part4	Tirisfal	stock
376	Dun Modr	Generic	22	3	2	1	Wetlands	0	-3231.320	-2453.920	15.505	49.900	39.300				dumps_part2 | dumps_part4	Wetlands	stock
377	Menethil	Generic	22	3	2	1	Wetlands	0	-3231.990	-2454.200	13.494	49.900	39.300				dumps_part2 | dumps_part4	Wetlands	stock
378	Loch Modan	Generic	22	3	2	1	Wetlands	0	-3231.020	-2454.870	14.937	49.900	39.300				dumps_part2 | dumps_part4	Wetlands	stock
379	Loch Modan	Generic	22	3	2	1	Wetlands	0	-3597.210	-2714.680	19.614	56.200	52.600				dumps_part2 | dumps_part4	Wetlands	stock
380	Menethil	Generic	22	3	2	1	Wetlands	0	-3597.880	-2713.780	18.836	56.200	52.600				dumps_part2 | dumps_part4	Wetlands	stock
381	Grim Batol	Generic	22	3	2	1	Wetlands	0	-3596.380	-2713.950	19.096	56.200	52.600				dumps_part2 | dumps_part4	Wetlands	stock
382	Dun Modr	Generic	22	3	2	1	Wetlands	0	-3597.650	-2713.630	18.281	56.200	52.600				dumps_part2 | dumps_part4	Wetlands	stock
386	Metal Mace	Generic	70	3	2	1	DunMorogh	0	-5581.480	-432.389	397.881	45.400	51.900				GameObjects-Bronzebeard | dumps_part2	DunMorogh	stock
387	Loch Modan	Generic	22	3	2	1	Wetlands	0	-2620.740	-2491.650	79.442	50.800	17.200				dumps_part2 | dumps_part4	Wetlands	stock
388	Arathi Highlands	Generic	22	3	2	1	Wetlands	0	-2620.210	-2490.750	78.775	50.800	17.100				dumps_part2 | dumps_part4	Wetlands	stock
389	Dun Modr	Generic	22	3	2	1	Wetlands	0	-2621.400	-2491.450	80.219	50.800	17.200				dumps_part2 | dumps_part4	Wetlands	stock
409	Angel Scale Starfish	Generic	1055983	1	1	1	Barrens	1	-1660.288	-4218.201	1.498	67.500	48.400				dumps_part4	Barrens	ascension
410	Goblin Pineapple Drink (Scale 2)	Generic	1010296	5	3	2	Barrens	1	-1661.715	-4217.593	1.307	67.500	48.500				GameObjects-Bronzebeard | dumps_part2 | dumps_part4	Barrens | Stranglethorn	ascension
711	Wanted!	Questgiver	17	4	3	1	Tirisfal	0	2285.970	288.693	35.182	60.700	51.500				GameObjects-Bronzebeard | dumps_part2 | dumps_part4	Tirisfal	stock
759	The Holy Spring	Chest	90	4	3	1	Stranglethorn	0	-13803.300	372.892	93.660	29.000	61.900				GameObjects-Bronzebeard | dumps_part2 | dumps_part4	Stranglethorn	stock
965	Black Smoke - scale 2	Generic	95	3	3	1	WesternPlaguelands	0	1111.100	-1687.710	75.752	48.900	78.700				GameObjects-Bronzebeard | dumps_part2 | dumps_part4	WesternPlaguelands	stock
1162	Menethil Harbor	Generic	22	3	2	1	Wetlands	0	-2621.210	-2491.460	77.997	50.800	17.200				dumps_part2 | dumps_part4	Wetlands	stock
1165	Gunther's Books	Chest	43	3	2	1	Tirisfal	0	2568.890	-37.531	33.280	68.000	42.100				GameObjects-Bronzebeard | dumps_part2	Tirisfal	stock
1166	Alexston's Chest	Chest	10	5	3	1	Westfall	0	-10672.200	1748.320	40.558	36.200	54.500				GameObjects-Bronzebeard | dumps_part2 | dumps_part4	Westfall	stock
1557	Lillith's Dinner Table	Questgiver	151	4	3	2	Tirisfal	0	2485.430	22.135	26.883	66.600	44.900				GameObjects-Bronzebeard | dumps_part2 | dumps_part4	Tirisfal | WesternPlaguelands	stock
1560	Storage Chest	Chest	1	4	3	1	Elwynn	0	-9463.140	-2.225	63.820	44.300	65.800				GameObjects-Bronzebeard | dumps_part2 | dumps_part4	Elwynn	stock
1561	Sealed Crate	Questgiver	31	9	3	3	Silverpine	0	482.648	1604.556	127.482	43.900	42.300				GameObjects-Bronzebeard | dumps_part2 | dumps_part4	Silverpine | Stranglethorn | Westfall	stock
1562	Marshal Haggard's Chest	Chest	41	1	1	1	Elwynn	0	-9549.080	-1439.210	62.294	85.700	69.500				dumps_part4	Elwynn	stock
1564	Ironforge	Generic	26	4	3	1	DunMorogh	0	-5507.560	-2050.340	399.597	78.200	49.700				GameObjects-Bronzebeard | dumps_part2 | dumps_part4	DunMorogh	stock
1565	Loch Modan	Generic	26	4	3	1	DunMorogh	0	-5508.530	-2051.250	399.610	78.200	49.700				GameObjects-Bronzebeard | dumps_part2 | dumps_part4	DunMorogh	stock
1566	Kharanos	Generic	26	4	3	1	DunMorogh	0	-5507.550	-2050.300	399.042	78.200	49.700				GameObjects-Bronzebeard | dumps_part2 | dumps_part4	DunMorogh	stock
1567	Loch Modan	Generic	26	3	2	1	DunMorogh	0	-5592.130	-489.771	397.072	46.500	52.200				GameObjects-Bronzebeard | dumps_part2	DunMorogh	stock
1568	Loch Modan	Generic	26	4	3	1	DunMorogh	0	-5608.290	-1503.120	399.519	67.100	52.700				GameObjects-Bronzebeard | dumps_part2 | dumps_part4	DunMorogh	stock
1569	Ironforge	Generic	26	4	3	1	DunMorogh	0	-5608.280	-1501.340	399.493	67.100	52.700				GameObjects-Bronzebeard | dumps_part2 | dumps_part4	DunMorogh	stock
1570	Kharanos	Generic	26	4	3	1	DunMorogh	0	-5608.290	-1501.340	398.990	67.100	52.700				GameObjects-Bronzebeard | dumps_part2 | dumps_part4	DunMorogh	stock
1571	Dusty Spellbooks	Chest	107	4	3	1	Silverpine	0	866.425	1231.330	52.603	52.800	28.600				GameObjects-Bronzebeard | dumps_part2 | dumps_part4	Silverpine	stock
1572	Kharanos	Generic	26	4	3	1	DunMorogh	0	-6239.470	315.570	383.198	30.200	72.000				GameObjects-Bronzebeard | dumps_part2 | dumps_part4	DunMorogh	stock
1573	Kharanos	Generic	26	4	3	1	DunMorogh	0	-5910.550	57.519	372.987	35.400	61.900				GameObjects-Bronzebeard | dumps_part2 | dumps_part4	DunMorogh	stock
1585	Explosive Charge	Questgiver	112	5	3	2	LochModan	0	-4750.570	-3389.010	284.880	50.600	14.300				GameObjects-Bronzebeard | dumps_part2 | dumps_part4	LochModan | Wetlands	stock
1586	Crate of Candles	Questgiver	113	3	2	1	Tirisfal	0	2571.790	-46.730	33.446	68.200	42.000				GameObjects-Bronzebeard | dumps_part2	Tirisfal	stock
1587	Turkey Leg	Generic	114	5	3	1	DunMorogh	0	-5663.700	-1566.620	384.611	68.400	54.400				GameObjects-Bronzebeard | dumps_part2 | dumps_part4	DunMorogh	stock
1593	Corpse Laden Boat	Questgiver	124	5	3	2	Silverpine	0	689.519	995.651	33.533	58.400	34.900				GameObjects-Bronzebeard | dumps_part2 | dumps_part4	Silverpine | Wetlands	stock
1594	Berard's Bookshelf	Chest	137	7	3	3	Aszhara	1	4006.940	-4776.700	304.804	29.600	39.500				GameObjects-Bronzebeard | dumps_part2 | dumps_part4	Aszhara | Azshara | Silverpine	stock
