id	name	type	display_id	sightings	submissions	zones	example_zone	example_map_id	example_x	example_y	example_z	example_map_x	example_map_y	lock_id	lock_type	other_names	seen_in	zone_list
3165	Ghrawt			6	1	1	Durotar	1	314.301	-4681.690	16.010	51.400	42.400				dumps-part1	Durotar
3166	Cutac			6	1	1	Durotar	1	387.984	-4758.340	12.245	52.900	40.300				dumps-part1	Durotar
3167	Wuark			7	1	1	Durotar	1	358.307	-4707.490	14.381	51.900	41.100				dumps-part1	Durotar
3168	Flakk			9	1	1	Durotar	1	282.712	-4764.430	11.904	53.000	43.300				dumps-part1	Durotar
3169	Tarshaw Jaggedscar			4	1	1	Durotar	1	311.352	-4827.790	9.580	54.200	42.500				dumps-part1	Durotar
3170	Kaplak			9	1	1	Durotar	1	264.190	-4716.810	17.489	52.100	43.800				dumps-part1	Durotar
3171	Thotar			9	1	1	Durotar	1	272.000	-4709.570	11.627	52.000	43.600				dumps-part1	Durotar
3172	Dhugru Gorelust			4	1	1	Durotar	1	343.748	-4615.350	18.351	50.200	41.500				dumps-part1	Durotar
3173	Swart			2	1	1	Durotar	1	307.114	-4839.910	10.524	54.400	42.600				dumps-part1	Durotar
3174	Dwukk			7	1	1	Durotar	1	363.686	-4703.790	15.489	51.800	41.000				dumps-part1	Durotar
3175	Krunn			7	1	1	Durotar	1	361.014	-4711.990	15.165	52.000	41.100				dumps-part1	Durotar
3191	Cook Torka			9	1	1	Durotar	1	268.983	-4694.890	14.057	51.700	43.700				dumps-part1	Durotar
3192	Lieutenant Benedict			2	1	1	Durotar	1	-247.456	-5121.320	42.641	59.700	58.300				dumps-part1	Durotar
3193	Misha Tor'kren			1	1	1	Durotar	1	738.388	-4241.470	18.672	43.100	30.400				dumps-part1	Durotar
3195	Burning Blade Thug			8	1	1	Durotar	1	772.944	-4734.799	38.354	52.400	29.400				dumps-part1	Durotar
3196	Burning Blade Neophyte			6	1	1	Durotar	1	800.343	-4752.529	36.680	52.800	28.600				dumps-part1	Durotar
3197	Burning Blade Fanatic			4	1	1	Durotar	1	846.242	-4200.174	-10.804	42.300	27.300				dumps-part1	Durotar
3198	Burning Blade Apprentice			2	1	1	Durotar	1	861.762	-4177.550	-14.085	41.900	26.900				dumps-part1	Durotar
3199	Burning Blade Cultist			7	1	1	Durotar	1	859.566	-4732.290	33.645	52.400	26.900				dumps-part1	Durotar
3203	Fizzle Darkstorm			1	1	1	Durotar	1	872.431	-4186.390	-13.953	42.100	26.600				dumps-part1	Durotar
3225				1	1	1	Barrens	1	-980.570	-3798.738	5.490	63.400	38.400				dumps-part1	Barrens
3227	Meow			13	1	5	Alterac	0	-8282.979	1064.712	57.262	-10.000	524.100			Corrupted Bloodtalon Scythemaw	dumps-part1	Alterac | Barrens | Durotar | SearingGorge | Stormwind
3242	Zhevra Runner			9	1	1	Barrens	1	-757.270	-3042.406	94.939	55.900	35.100				dumps-part1	Barrens
3243				1	1	1	Barrens	1	-924.274	-3730.561	9.501	62.700	37.500				dumps-part1	Barrens
3244	Greater Plainstrider			15	1	1	Barrens	1	-600.948	-2765.054	91.666	53.200	32.800				dumps-part1	Barrens
3246	Fleeting Plainstrider			3	1	1	Barrens	1	-713.935	-3123.038	94.679	56.700	34.400				dumps-part1	Barrens
3247				1	1	1	Barrens	1	-438.732	-2598.899	95.796	51.500	30.400				dumps-part1	Barrens
3248	Barrens Giraffe			4	1	1	Barrens	1	-866.692	-3423.323	95.209	59.700	36.700				dumps-part1	Barrens
3255	Sunscale Screecher			9	1	2	Barrens	1	-888.615	-3249.148	92.207	57.900	37.000				dumps-part1	Barrens | Durotar
3292	Brewmaster Drohn			1	1	1	Barrens	1	-981.240	-3686.490	9.422	62.300	38.400				dumps-part1	Barrens
3293	Rezlak			2	1	1	Durotar	1	999.767	-4415.140	14.319	46.400	22.900				dumps-part1	Durotar
3294	Ophek			2	1	1	Durotar	1	307.566	-4866.030	21.530	54.900	42.600				dumps-part1	Durotar
3296	Orgrimmar Grunt			1	1	1	Durotar	1	1332.760	-4633.400	24.053	50.500	13.500				dumps-part1	Durotar
3300	Adder			39	1	2	Barrens	1	-801.842	-3465.765	91.664	60.100	35.700				dumps-part1	Barrens | Durotar
3305	Grisha			2	1	2	Alterac	0	-6559.260	-1100.230	310.276	67.300	431.700				dumps-part1	Alterac | SearingGorge
3336	Takrin Pathseeker			9	1	1	Durotar	1	239.516	-4664.731	16.126	51.100	44.500				dumps-part1	Durotar
3338	Sergra Darkthorn			2	1	1	Barrens	1	-482.475	-2670.190	97.349	52.200	31.000				dumps-part1	Barrens
3339	Captain Thalo'thas Brightsun			1	1	1	Barrens	1	-1024.590	-3688.910	23.123	62.300	39.000				dumps-part1	Barrens
3390	Apothecary Helbrim			1	1	1	Barrens	1	-424.542	-2589.880	95.816	51.400	30.200				dumps-part1	Barrens
3391				1	1	1	Barrens	1	-835.563	-3728.660	26.363	62.700	36.200				dumps-part1	Barrens
3415	Savannah Huntress			1	1	1	Barrens	1	-486.092	-2836.970	92.477	53.900	31.100				dumps-part1	Barrens
3425	Savannah Prowler			6	1	1	Barrens	1	-895.105	-3329.469	91.748	58.700	37.100				dumps-part1	Barrens
3428	Korran			1	1	1	Barrens	1	-387.376	-2549.160	98.859	51.000	29.600				dumps-part1	Barrens
3429	Thork			1	1	1	Barrens	1	-473.202	-2595.700	103.723	51.500	30.900				dumps-part1	Barrens
3431	Grenthar			1	1	1	Barrens	1	-387.454	-2671.020	95.669	52.200	29.600				dumps-part1	Barrens
3432	Mankrik			2	1	1	Barrens	1	-520.983	-2641.410	95.788	52.000	31.600				dumps-part1	Barrens
3442	Sputtervalve			1	1	1	Barrens	1	-902.036	-3759.400	11.572	63.000	37.200				dumps-part1	Barrens
3443				1	1	1	Barrens	1	-534.982	-2982.220	93.009	55.300	31.800				dumps-part1	Barrens
3446	Mebok Mizzyrix			1	1	1	Barrens	1	-928.982	-3697.230	7.988	62.400	37.600				dumps-part1	Barrens
3448	Tonga Runetotem			2	1	1	Barrens	1	-544.992	-2672.770	95.788	52.300	31.900				dumps-part1	Barrens
3449	Darsok Swiftdagger			1	1	1	Barrens	1	-474.894	-2607.740	127.799	51.600	30.900				dumps-part1	Barrens
3453				1	1	1	Barrens	1	-985.599	-3796.710	5.185	63.400	38.500				dumps-part1	Barrens
3464	Gazrog			1	1	1	Barrens	1	-435.952	-2639.210	96.276	51.900	30.300				dumps-part1	Barrens
3475	Froggy			2	1	2	Barrens	1	-438.918	-2657.201	95.879	52.100	30.400				dumps-part1	Barrens | Durotar
3477				1	1	1	Barrens	1	-340.205	-2557.780	97.967	51.100	28.900				dumps-part1	Barrens
3478				1	1	1	Barrens	1	-340.734	-2574.610	97.648	51.300	28.900				dumps-part1	Barrens
3479				1	1	1	Barrens	1	-357.729	-2568.910	95.789	51.200	29.200				dumps-part1	Barrens
3480	Moorane Hearthgrain			2	1	1	Barrens	1	-451.216	-2684.121	95.623	52.400	30.500				dumps-part1	Barrens
3481	Barg			1	1	1	Barrens	1	-410.837	-2612.910	95.739	51.700	29.900				dumps-part1	Barrens
3482	Tari'qa			1	1	1	Barrens	1	-415.701	-2615.350	95.680	51.700	30.000				dumps-part1	Barrens
3483				1	1	1	Barrens	1	-346.607	-2566.418	97.429	51.200	29.000				dumps-part1	Barrens
3484	Kil'hala			2	1	1	Barrens	1	-529.430	-2667.070	95.788	52.200	31.700				dumps-part1	Barrens
3485	Wrahk			2	1	1	Barrens	1	-529.596	-2671.170	95.788	52.200	31.700				dumps-part1	Barrens
3486	Halija Whitestrider			2	1	1	Barrens	1	-539.841	-2672.230	95.788	52.300	31.900				dumps-part1	Barrens
3487	Kalyimah Stormcloud			2	1	1	Barrens	1	-551.200	-2673.340	95.788	52.300	32.000				dumps-part1	Barrens
3488				1	1	1	Barrens	1	-351.184	-2556.510	95.856	51.100	29.100				dumps-part1	Barrens
3489	Zargh			2	1	1	Barrens	1	-403.184	-2708.790	97.549	52.600	29.800				dumps-part1	Barrens
3490	Hula'mahi			1	1	1	Barrens	1	-429.180	-2589.740	95.803	51.400	30.200				dumps-part1	Barrens
3491	Ironzar			1	1	1	Barrens	1	-919.577	-3683.730	8.156	62.200	37.500				dumps-part1	Barrens
3492	Vexspindle			1	1	1	Barrens	1	-985.485	-3675.920	9.545	62.200	38.500				dumps-part1	Barrens
3493	Grazlix			1	1	1	Barrens	1	-982.713	-3680.530	9.555	62.200	38.400				dumps-part1	Barrens
3494	Tinkerwiz			1	1	1	Barrens	1	-841.783	-3726.100	19.887	62.700	36.300				dumps-part1	Barrens
3495				1	1	1	Barrens	1	-837.804	-3724.940	26.360	62.600	36.300				dumps-part1	Barrens
3496	Fuzruckle			1	1	1	Barrens	1	-915.813	-3724.490	9.641	62.600	37.400				dumps-part1	Barrens
3497	Kilxx			1	1	1	Barrens	1	-971.109	-3737.660	5.826	62.800	38.200				dumps-part1	Barrens
3498	Jazzik			1	1	1	Barrens	1	-1008.670	-3651.950	20.066	61.900	38.800				dumps-part1	Barrens
3499	Ranik			1	1	1	Barrens	1	-1002.080	-3652.370	20.035	61.900	38.700				dumps-part1	Barrens
3501	Horde Guard			23	1	1	Barrens	1	-640.971	-3167.222	92.541	57.100	33.400				dumps-part1	Barrens
3502	Ratchet Bruiser			22	1	1	Barrens	1	-1041.870	-3682.830	22.975	62.200	39.300				dumps-part1	Barrens
3518	Thomas Miller			2	1	1	Stormwind	0	-8829.962	619.724	93.975	63.500	72.000				dumps-part1	Stormwind
3520	Ol' Emma			2	1	1	Stormwind	0	-8733.015	692.782	98.761	59.300	63.600				dumps-part1	Stormwind
3572	Zizzek			1	1	1	Barrens	1	-1031.990	-3659.050	22.777	62.000	39.100				dumps-part1	Barrens
3615	Devrak			1	1	1	Barrens	1	-437.137	-2596.000	95.788	51.500	30.300				dumps-part1	Barrens
3619				1	1	1	Stormwind	0	-8929.535	609.835	99.523	64.100	80.600				dumps-part1	Stormwind
3620	Harruk			9	1	1	Durotar	1	276.997	-4716.890	11.626	52.100	43.400				dumps-part1	Durotar
3626	Jenn Langston			2	1	1	Stormwind	0	-8717.457	445.414	97.067	73.500	62.300				dumps-part1	Stormwind
3629	David Langston			1	1	1	Stormwind	0	-8610.780	380.140	102.995	77.300	53.100				dumps-part1	Stormwind
3658	Lizzarik			1	1	1	Barrens	1	-458.515	-2694.820	96.735	52.500	30.700				dumps-part1	Barrens
3659	Jorb			1	1	1	Barrens	1	-460.097	-2697.347	96.900	52.500	30.700				dumps-part1	Barrens
3665	Crane Operator Bigglefuzz			1	1	1	Barrens	1	-928.958	-3767.750	6.452	63.100	37.600				dumps-part1	Barrens
3706	Tai'jin			5	1	1	Durotar	1	294.884	-4831.490	10.524	54.300	42.900				dumps-part1	Durotar
3707	Ken'jai			1	1	1	Durotar	1	-617.395	-4202.400	38.245	42.400	68.800				dumps-part1	Durotar
3810	EvilGRR			1	1	1	Barrens	1	-438.099	-2597.371	95.787	51.500	30.400				dumps-part1	Barrens
3819	Wildthorn Stalker			1	1	1	Barrens	1	-409.535	-2650.889	96.223	52.000	29.900				dumps-part1	Barrens
3823	Ghostpaw Runner			3	1	1	Barrens	1	-494.924	-2671.717	97.337	52.200	31.200				dumps-part1	Barrens
3861	Bleak Worg			3	1	2	Barrens	1	-442.703	-2594.415	96.050	51.500	30.400				dumps-part1	Barrens | Stormwind
3881	Grimtak			8	1	1	Durotar	1	281.467	-4694.720	12.966	51.700	43.300				dumps-part1	Durotar
3882	Zlagk			1	1	1	Durotar	1	-560.125	-4217.200	41.674	42.600	67.200				dumps-part1	Durotar
3934	Innkeeper Boorand Plainswind			1	1	1	Barrens	1	-407.123	-2645.220	96.223	52.000	29.900				dumps-part1	Barrens
4075	Rat			29	1	2	Alterac	0	-8378.514	1104.663	18.906	-11.500	529.200				dumps-part1	Alterac | Stormwind
4127	Hecklefang Hyena			2	1	1	Barrens	1	-944.197	-3381.742	92.988	59.300	37.800				dumps-part1	Barrens
4139				1	1	1	Stormwind	0	-8805.601	644.533	95.191	62.100	69.900				dumps-part1	Stormwind
4143				1	1	1	Barrens	1	-427.725	-2646.817	96.445	52.000	30.200				dumps-part1	Barrens
