file	bytes	records	fields	record_size	submission
Lock.dbc	51237	388	33	132	Asc_data_maps__bea8d07f.zip
LockType.dbc	4916	21	53	212	Asc_data_maps__bea8d07f.zip
MailTemplate.dbc	64321	207	35	140	Asc_data_maps__bea8d07f.zip
Map.dbc	43226	135	66	264	Asc_data_maps__bea8d07f.zip
MapDifficulty.dbc	19067	187	23	92	Asc_data_maps__bea8d07f.zip
Material.dbc	181	8	5	20	Asc_data_maps__bea8d07f.zip
Movie.dbc	126	4	3	12	Asc_data_maps__bea8d07f.zip
MovieFileData.dbc	85	8	2	8	Asc_data_maps__bea8d07f.zip
MovieVariation.dbc	141	10	3	12	Asc_data_maps__bea8d07f.zip
NPCSounds.dbc	6041	301	5	20	Asc_data_maps__bea8d07f.zip
NameGen.dbc	144728	6232	4	16	Asc_data_maps__bea8d07f.zip
NamesProfanity.dbc	134417	8267	3	12	Asc_data_maps__bea8d07f.zip
NamesReserved.dbc	229876	16330	3	12	Asc_data_maps__bea8d07f.zip
ObjectEffect.dbc	8545	145	12	48	Asc_data_maps__bea8d07f.zip
ObjectEffectGroup.dbc	3493	104	2	8	Asc_data_maps__bea8d07f.zip
ObjectEffectModifier.dbc	373	11	8	32	Asc_data_maps__bea8d07f.zip
ObjectEffectPackage.dbc	829	29	2	8	Asc_data_maps__bea8d07f.zip
ObjectEffectPackageElem.dbc	2437	151	4	16	Asc_data_maps__bea8d07f.zip
OverrideSpellData.dbc	405	8	12	48	Asc_data_maps__bea8d07f.zip
Package.dbc	125	1	20	80	Asc_data_maps__bea8d07f.zip
PageTextMaterial.dbc	132	7	2	8	Asc_data_maps__bea8d07f.zip
PaperDollItemFrame.dbc	1602	36	3	12	Asc_data_maps__bea8d07f.zip
ParticleColor.dbc	4261	106	10	40	Asc_data_maps__bea8d07f.zip
PetPersonality.dbc	247	2	24	96	Asc_data_maps__bea8d07f.zip
PetitionType.dbc	62	2	3	12	Asc_data_maps__bea8d07f.zip
PowerDisplay.dbc	242	7	6	15	Asc_data_maps__bea8d07f.zip
PvpDifficulty.dbc	2613	108	6	24	Asc_data_maps__bea8d07f.zip
QuestFactionReward.dbc	109	2	11	44	Asc_data_maps__bea8d07f.zip
QuestInfo.dbc	897	11	18	72	Asc_data_maps__bea8d07f.zip
QuestSort.dbc	3440	41	18	72	Asc_data_maps__bea8d07f.zip
QuestXP.dbc	4421	100	11	44	Asc_data_maps__bea8d07f.zip
RandPropPoints.dbc	19221	300	16	64	Asc_data_maps__bea8d07f.zip
Resistances.dbc	627	7	20	80	Asc_data_maps__bea8d07f.zip
ScalingStatDistribution.dbc	5037	57	22	88	Asc_data_maps__bea8d07f.zip
ScalingStatValues.dbc	7701	80	24	96	Asc_data_maps__bea8d07f.zip
ScreenEffect.dbc	2746	40	10	40	Asc_data_maps__bea8d07f.zip
ServerMessages.dbc	912	9	18	72	Asc_data_maps__bea8d07f.zip
SheatheSoundLookups.dbc	945	33	7	28	Asc_data_maps__bea8d07f.zip
SkillCostsData.dbc	30021	1500	5	20	Asc_data_maps__bea8d07f.zip
SkillLine.dbc	38771	150	56	224	Asc_data_maps__bea8d07f.zip
SkillLineAbility.dbc	572285	10219	14	56	Asc_data_maps__bea8d07f.zip
SkillLineCategory.dbc	740	8	19	76	Asc_data_maps__bea8d07f.zip
SkillRaceClassInfo.dbc	7733	241	8	32	Asc_data_maps__bea8d07f.zip
SkillTiers.dbc	3453	26	33	132	Asc_data_maps__bea8d07f.zip
SoundAmbience.dbc	2493	206	3	12	Asc_data_maps__bea8d07f.zip
SoundEmitters.dbc	26779	632	10	40	Asc_data_maps__bea8d07f.zip
SoundEntries.dbc	2405359	12941	30	120	Asc_data_maps__bea8d07f.zip
SoundEntriesAdvanced.dbc	192415	1641	24	96	Asc_data_maps__bea8d07f.zip
SoundFilter.dbc	699	20	2	8	Asc_data_maps__bea8d07f.zip
SoundFilterElem.dbc	2673	51	13	52	Asc_data_maps__bea8d07f.zip
SoundProviderPreferences.dbc	3593	32	24	96	Asc_data_maps__bea8d07f.zip
SoundSamplePreferences.dbc	157	2	17	68	Asc_data_maps__bea8d07f.zip
SoundWaterType.dbc	213	12	4	16	Asc_data_maps__bea8d07f.zip
SpamMessages.dbc	14950	133	2	8	Asc_data_maps__bea8d07f.zip
Spell.dbc	48967121	49839	234	936	Asc_data_maps__bea8d07f.zip
SpellCastTimes.dbc	1141	70	4	16	Asc_data_maps__bea8d07f.zip
SpellCategory.dbc	2117	262	2	8	Asc_data_maps__bea8d07f.zip
SpellChainEffects.dbc	174517	935	48	177	Asc_data_maps__bea8d07f.zip
SpellDescriptionVariables.dbc	2787	30	2	8	Asc_data_maps__bea8d07f.zip
SpellDifficulty.dbc	11641	581	5	20	Asc_data_maps__bea8d07f.zip
SpellDispelType.dbc	1146	12	21	84	Asc_data_maps__bea8d07f.zip
SpellDuration.dbc	2101	130	4	16	Asc_data_maps__bea8d07f.zip
SpellEffectCameraShakes.dbc	501	30	4	16	Asc_data_maps__bea8d07f.zip
SpellFocusObject.dbc	35886	379	18	72	Asc_data_maps__bea8d07f.zip
SpellIcon.dbc	151540	3226	2	8	Asc_data_maps__bea8d07f.zip
SpellItemEnchantment.dbc	451214	2656	38	152	Asc_data_maps__bea8d07f.zip
SpellItemEnchantmentCondition.dbc	3157	49	31	64	Asc_data_maps__bea8d07f.zip
SpellMechanic.dbc	2521	31	18	72	Asc_data_maps__bea8d07f.zip
SpellMissile.dbc	6321	105	15	60	Asc_data_maps__bea8d07f.zip
SpellMissileMotion.dbc	61609	204	5	20	Asc_data_maps__bea8d07f.zip
SpellRadius.dbc	949	58	4	16	Asc_data_maps__bea8d07f.zip
SpellRange.dbc	11480	64	40	160	Asc_data_maps__bea8d07f.zip
SpellRuneCost.dbc	9521	475	5	20	Asc_data_maps__bea8d07f.zip
SpellShapeshiftForm.dbc	4890	32	35	140	Asc_data_maps__bea8d07f.zip
SpellVisual.dbc	1203989	9406	32	128	Asc_data_maps__bea8d07f.zip
SpellVisualEffectName.dbc	259675	3965	7	28	Asc_data_maps__bea8d07f.zip
SpellVisualKit.dbc	1316797	8663	38	152	Asc_data_maps__bea8d07f.zip
SpellVisualKitAreaModel.dbc	696	15	3	12	Asc_data_maps__bea8d07f.zip
SpellVisualKitModelAttach.dbc	23661	591	10	40	Asc_data_maps__bea8d07f.zip
SpellVisualPrecastTransitions.dbc	115	3	3	12	Asc_data_maps__bea8d07f.zip
StableSlotPrices.dbc	53	4	2	8	Asc_data_maps__bea8d07f.zip
Startup_Strings.dbc	1574	9	19	76	Asc_data_maps__bea8d07f.zip
Stationery.dbc	224	7	4	16	Asc_data_maps__bea8d07f.zip
StringLookups.dbc	384	9	2	8	Asc_data_maps__bea8d07f.zip
SummonProperties.dbc	4821	200	6	24	Asc_data_maps__bea8d07f.zip
Talent.dbc	82085	892	23	92	Asc_data_maps__bea8d07f.zip
TalentTab.dbc	3972	33	24	96	Asc_data_maps__bea8d07f.zip
TaxiNodes.dbc	46504	364	24	96	Asc_data_maps__bea8d07f.zip
TaxiPath.dbc	14661	915	4	16	Asc_data_maps__bea8d07f.zip
TaxiPathNode.dbc	993805	22586	11	44	Asc_data_maps__bea8d07f.zip
TeamContributionPoints.dbc	11221	1400	2	8	Asc_data_maps__bea8d07f.zip
TerrainType.dbc	385	12	6	24	Asc_data_maps__bea8d07f.zip
TerrainTypeSounds.dbc	61	10	1	4	Asc_data_maps__bea8d07f.zip
TotemCategory.dbc	3128	32	20	80	Asc_data_maps__bea8d07f.zip
TransportAnimation.dbc	147357	5262	7	28	Asc_data_maps__bea8d07f.zip
TransportPhysics.dbc	153	3	11	44	Asc_data_maps__bea8d07f.zip
TransportRotation.dbc	6377	227	7	28	Asc_data_maps__bea8d07f.zip
UISoundLookups.dbc	3928	129	3	12	Asc_data_maps__bea8d07f.zip
UnitBlood.dbc	641	4	10	40	Asc_data_maps__bea8d07f.zip
UnitBloodLevels.dbc	85	4	4	16	Asc_data_maps__bea8d07f.zip
Vehicle.dbc	66651	412	40	160	Asc_data_maps__bea8d07f.zip
VehicleSeat.dbc	167061	720	58	232	Asc_data_maps__bea8d07f.zip
VehicleUIIndSeat.dbc	401	19	5	20	Asc_data_maps__bea8d07f.zip
VehicleUIIndicator.dbc	419	9	2	8	Asc_data_maps__bea8d07f.zip
VideoHardware.dbc	17893	194	23	92	Asc_data_maps__bea8d07f.zip
VocalUISounds.dbc	17969	641	7	28	Asc_data_maps__bea8d07f.zip
WMOAreaTable.dbc	2540951	22550	28	112	Asc_data_maps__bea8d07f.zip
WeaponImpactSounds.dbc	2781	30	23	92	Asc_data_maps__bea8d07f.zip
WeaponSwingSounds2.dbc	117	6	4	16	Asc_data_maps__bea8d07f.zip
Weather.dbc	1201	32	8	32	Asc_data_maps__bea8d07f.zip
WorldChunkSounds.dbc	21	0	9	36	Asc_data_maps__bea8d07f.zip
WorldMapArea.dbc	6075	108	11	44	Asc_data_maps__bea8d07f.zip
WorldMapContinent.dbc	245	4	14	56	Asc_data_maps__bea8d07f.zip
WorldMapOverlay.dbc	79710	988	17	68	Asc_data_maps__bea8d07f.zip
WorldMapTransforms.dbc	381	9	10	40	Asc_data_maps__bea8d07f.zip
WorldSafeLocs.dbc	81245	685	22	88	Asc_data_maps__bea8d07f.zip
WorldStateUI.dbc	46474	153	63	252	Asc_data_maps__bea8d07f.zip
WorldStateZoneSounds.dbc	1365	42	8	32	Asc_data_maps__bea8d07f.zip
WowError_Strings.dbc	1474	13	19	76	Asc_data_maps__bea8d07f.zip
ZoneIntroMusicTable.dbc	6500	168	5	20	Asc_data_maps__bea8d07f.zip
ZoneMusic.dbc	20214	369	8	32	Asc_data_maps__bea8d07f.zip
gtBarberShopCostBase.dbc	421	100	1	4	Asc_data_maps__bea8d07f.zip
gtChanceToMeleeCrit.dbc	4421	1100	1	4	Asc_data_maps__bea8d07f.zip
gtChanceToMeleeCritBase.dbc	65	11	1	4	Asc_data_maps__bea8d07f.zip
gtChanceToSpellCrit.dbc	4421	1100	1	4	Asc_data_maps__bea8d07f.zip
gtChanceToSpellCritBase.dbc	65	11	1	4	Asc_data_maps__bea8d07f.zip
gtCombatRatings.dbc	12821	3200	1	4	Asc_data_maps__bea8d07f.zip
gtNPCManaCostScaler.dbc	421	100	1	4	Asc_data_maps__bea8d07f.zip
gtOCTClassCombatRatingScalar.dbc	2837	352	2	8	Asc_data_maps__bea8d07f.zip
gtOCTRegenHP.dbc	4421	1100	1	4	Asc_data_maps__bea8d07f.zip
gtOCTRegenMP.dbc	4421	1100	1	4	Asc_data_maps__bea8d07f.zip
gtRegenHPPerSpt.dbc	4421	1100	1	4	Asc_data_maps__bea8d07f.zip
gtRegenMPPerSpt.dbc	4421	1100	1	4	Asc_data_maps__bea8d07f.zip
