map_id	name	directory	instance_type	terrain_tiles	vmap_tiles	vmap_tree	mmap_tiles	mmap_index	above_stock_range	submission
553	Tempest Keep: The Botanica	TempestKeepAtrium	1	0	0	1	6	1	0	Asc_data_maps__bea8d07f.zip
554	Tempest Keep: The Mechanar	TempestKeepFactory	1	0	0	1	4	1	0	Asc_data_maps__bea8d07f.zip
555	Auchindoun: Shadow Labyrinth	AuchindounShadow	1	0	0	1	6	1	0	Asc_data_maps__bea8d07f.zip
556	Auchindoun: Sethekk Halls	AuchindounDemon	1	0	0	1	4	1	0	Asc_data_maps__bea8d07f.zip
557	Auchindoun: Mana-Tombs	AuchindounEthereal	1	0	0	1	4	1	0	Asc_data_maps__bea8d07f.zip
558	Auchindoun: Auchenai Crypts	AuchindounDraenei	1	0	0	1	4	1	0	Asc_data_maps__bea8d07f.zip
559	Nagrand Arena	PVPZone05	4	9	1	1	9	1	0	Asc_data_maps__bea8d07f.zip
560	The Escape From Durnholde	HillsbradPast	1	36	31	1	35	1	0	Asc_data_maps__bea8d07f.zip
562	Blade's Edge Arena	bladesedgearena	4	9	9	1	9	1	0	Asc_data_maps__bea8d07f.zip
564	Black Temple	BlackTemple	2	30	18	1	24	1	0	Asc_data_maps__bea8d07f.zip
565	Gruul's Lair	GruulsLair	2	0	0	1	4	1	0	Asc_data_maps__bea8d07f.zip
566	Eye of the Storm	NetherstormBG	3	36	10	1	24	1	0	Asc_data_maps__bea8d07f.zip
568	Zul'Aman	ZulAman	2	25	20	1	20	1	0	Asc_data_maps__bea8d07f.zip
571	Northrend	Northrend	0	1131	436	1	433	1	0	Asc_data_maps__bea8d07f.zip
572	Ruins of Lordaeron	PVPLordaeron	4	25	12	1	16	1	0	Asc_data_maps__bea8d07f.zip
573	ExteriorTest	ExteriorTest	0	29	0	0	11	1	0	Asc_data_maps__bea8d07f.zip
574	Utgarde Keep	Valgarde70	1	64	21	1	52	1	0	Asc_data_maps__bea8d07f.zip
575	Utgarde Pinnacle	UtgardePinnacle	1	64	36	1	49	1	0	Asc_data_maps__bea8d07f.zip
576	The Nexus	Nexus70	1	0	0	1	5	1	0	Asc_data_maps__bea8d07f.zip
578	The Oculus	Nexus80	1	64	9	1	16	1	0	Asc_data_maps__bea8d07f.zip
580	The Sunwell	SunwellPlateau	2	30	13	1	27	1	0	Asc_data_maps__bea8d07f.zip
585	Magister's Terrace	Sunwell5ManFix	1	90	10	1	28	1	0	Asc_data_maps__bea8d07f.zip
595	The Culling of Stratholme	StratholmeCOT	1	36	19	1	24	1	0	Asc_data_maps__bea8d07f.zip
598	Sunwell Fix (Unused)	Sunwell5Man	1	0	0	1	4	1	0	Asc_data_maps__bea8d07f.zip
599	Halls of Stone	Ulduar70	1	25	6	1	7	1	0	Asc_data_maps__bea8d07f.zip
600	Drak'Tharon Keep	DrakTheronKeep	1	25	20	1	23	1	0	Asc_data_maps__bea8d07f.zip
601	Azjol-Nerub	Azjol_Uppercity	1	16	4	1	4	1	0	Asc_data_maps__bea8d07f.zip
602	Halls of Lightning	Ulduar80	1	49	15	1	32	1	0	Asc_data_maps__bea8d07f.zip
603	Ulduar	UlduarRaid	2	82	49	1	66	1	0	Asc_data_maps__bea8d07f.zip
604	Gundrak	GunDrak	1	25	4	1	4	1	0	Asc_data_maps__bea8d07f.zip
605	Development Land (non-weighted textures)	development_nonweighted	0	9	0	0	0	1	0	Asc_data_maps__bea8d07f.zip
606	QA and DVD	QA_DVD	0	2	0	0	0	1	0	Asc_data_maps__bea8d07f.zip
607	Strand of the Ancients	NorthrendBG	3	68	31	1	68	1	0	Asc_data_maps__bea8d07f.zip
608	Violet Hold	DalaranPrison	1	25	1	1	1	1	0	Asc_data_maps__bea8d07f.zip
609	Ebon Hold	DeathKnightStart	0	42	31	1	37	1	0	Asc_data_maps__bea8d07f.zip
615	The Obsidian Sanctum	ChamberOfAspectsBlack	2	16	4	1	16	1	0	Asc_data_maps__bea8d07f.zip
616	The Eye of Eternity	NexusRaid	2	25	0	0	0	1	0	Asc_data_maps__bea8d07f.zip
617	Dalaran Sewers	DalaranArena	4	9	1	1	1	1	0	Asc_data_maps__bea8d07f.zip
618	The Ring of Valor	OrgrimmarArena	4	9	1	1	1	1	0	Asc_data_maps__bea8d07f.zip
619	Ahn'kahet: The Old Kingdom	Azjol_LowerCity	1	49	49	1	49	1	0	Asc_data_maps__bea8d07f.zip
624	Vault of Archavon	WintergraspRaid	2	9	6	1	5	1	0	Asc_data_maps__bea8d07f.zip
625	Mid-level Test 15	MidLevel15_New	1	9	0	0	0	1	0	Asc_data_maps__bea8d07f.zip
626	Mid-level Test 30	MidLevel30_New	1	9	0	0	0	1	0	Asc_data_maps__bea8d07f.zip
627	Mid-level Test 45	MidLevel45_New	1	9	0	0	0	1	0	Asc_data_maps__bea8d07f.zip
628	Isle of Conquest	IsleofConquest	3	83	55	1	61	1	0	Asc_data_maps__bea8d07f.zip
631	Icecrown Citadel	IcecrownCitadel	2	89	20	1	67	1	0	Asc_data_maps__bea8d07f.zip
632	The Forge of Souls	IcecrownCitadel5Man	1	6	6	1	5	1	0	Asc_data_maps__bea8d07f.zip
645	Blackrock Caverns	BlackRockSpire_4_0	1	9	0	0	8	1	0	Asc_data_maps__bea8d07f.zip
649	Trial of the Crusader	ArgentTournamentRaid	2	25	8	1	8	1	0	Asc_data_maps__bea8d07f.zip
650	Trial of the Champion	ArgentTournamentDungeon	1	16	9	1	11	1	0	Asc_data_maps__bea8d07f.zip
658	Pit of Saron	QuarryofTears	1	9	9	1	9	1	0	Asc_data_maps__bea8d07f.zip
666	Test Dev Dungeon	Shadowfang	1	25	0	0	25	1	0	Asc_data_maps__bea8d07f.zip
668	Halls of Reflection	HallsOfReflection	1	20	18	1	19	1	0	Asc_data_maps__bea8d07f.zip
723	Stormwind	Stormwind	0	25	22	1	25	1	0	Asc_data_maps__bea8d07f.zip
724	The Ruby Sanctum	ChamberofAspectsRed	2	16	4	1	16	1	0	Asc_data_maps__bea8d07f.zip
726	Twin Peaks	CataclysmCTF	3	9	0	0	9	1	1	Asc_data_maps__bea8d07f.zip
800	Battle Royale	InstanceName	2	56	0	0	56	1	1	Asc_data_maps__bea8d07f.zip
806	Twisting Nether	TwistingNether	0	16	0	0	5	1	1	Asc_data_maps__bea8d07f.zip
807	MageArtifact	MageArtifact	0	16	0	0	3	1	1	Asc_data_maps__bea8d07f.zip
808	Twisting Nether	TwistingNetherPVP	0	16	0	0	8	1	1	Asc_data_maps__bea8d07f.zip
809	InstanceName	InstanceName	0	56	0	0	56	1	1	Asc_data_maps__bea8d07f.zip
820	Frozen Tears Sanctum	TirisFortress	1	49	0	0	0	1	1	Asc_data_maps__bea8d07f.zip
821	Tinkertech Showdown	TinketechShowdown	1	28	0	0	0	1	1	Asc_data_maps__bea8d07f.zip
880	Setis (PvE)	setisbossmap	2	42	0	0	42	1	1	Asc_data_maps__bea8d07f.zip
881	Azuregos (PvE)	azuregosbossmap	2	6	0	0	6	1	1	Asc_data_maps__bea8d07f.zip
882	Lord Kazzak (PvE)	kazzakbossmap	2	25	0	0	24	1	1	Asc_data_maps__bea8d07f.zip
883	Soggoth (PvE)	soggothbossmap	2	9	0	0	4	1	1	Asc_data_maps__bea8d07f.zip
884	Depthbreaker's Hollow	Feralasbossmap	0	4	0	0	4	1	1	Asc_data_maps__bea8d07f.zip
885	Emeriss (PvE)	Emerissbossmap	2	5	0	0	5	1	1	Asc_data_maps__bea8d07f.zip
886	Taerar (PvE)	Taerarbossmap	2	16	0	0	16	1	1	Asc_data_maps__bea8d07f.zip
887	Ysondre (PvE)	Ysondrebossmap	2	20	0	0	20	1	1	Asc_data_maps__bea8d07f.zip
888	Lethon (PvE)	Lethonbossmap	2	4	0	0	4	1	1	Asc_data_maps__bea8d07f.zip
889	Snowgrave (PvE)	Frostgiantnbossmap	2	6	0	0	3	1	1	Asc_data_maps__bea8d07f.zip
890	Atal'zull (PvE)	Atalzulbossmap	2	4	0	0	4	1	1	Asc_data_maps__bea8d07f.zip
891	Kaldros Depthbreaker (PvE)	Kaldrosbossmap	2	4	0	0	4	1	1	Asc_data_maps__bea8d07f.zip
900	Future Northrend	Shialannd	0	300	0	0	228	1	1	Asc_data_maps__bea8d07f.zip
901	Newnerub	Newnerub	0	197	0	0	194	1	1	Asc_data_maps__bea8d07f.zip
902	Blacklineage	Blacklineage	0	25	0	0	0	1	1	Asc_data_maps__bea8d07f.zip
903	Stormwind Sewer	stormwindsewer	0	9	0	0	0	1	1	Asc_data_maps__bea8d07f.zip
904	Orgrimmar Depths	orgrimmardepths	0	24	0	0	9	1	1	Asc_data_maps__bea8d07f.zip
907	Fading Island	AzzarArchipelago	0	156	0	0	156	1	1	Asc_data_maps__bea8d07f.zip
908	Frozen Reach	Alvaencounter	1	36	0	0	36	1	1	Asc_data_maps__bea8d07f.zip
909	Azzar Faire	Azzarfaire	0	72	0	0	72	1	1	Asc_data_maps__bea8d07f.zip
910	Newnerub	Newnerub	0	197	0	0	194	1	1	Asc_data_maps__bea8d07f.zip
920	SpellDevMap	SpellDevMap	0	20	0	0	0	1	1	Asc_data_maps__bea8d07f.zip
921	BlackDevMap	BlackDevMap	0	9	0	0	7	1	1	Asc_data_maps__bea8d07f.zip
922	DungeonDevMap	DungeonDevMap	1	21	0	0	0	1	1	Asc_data_maps__bea8d07f.zip
923	RaidDevMap	RaidDevMap	0	21	0	0	0	1	1	Asc_data_maps__bea8d07f.zip
924	OutdoorDevMap	OutdoorDevMap	0	21	0	0	0	1	1	Asc_data_maps__bea8d07f.zip
925	MinigamesDevMap	MinigamesDevMap	0	21	0	0	0	1	1	Asc_data_maps__bea8d07f.zip
926	RobinDevMap	RobinDevMap	0	1	0	0	0	1	1	Asc_data_maps__bea8d07f.zip
927	Azerothdev	Azerothdev	0	30	0	0	27	1	1	Asc_data_maps__bea8d07f.zip
928	Kalimdordev	Kalimdordev	0	36	0	0	36	1	1	Asc_data_maps__bea8d07f.zip
929	AdtDevMap	AdtDevMap	0	35	0	0	0	1	1	Asc_data_maps__bea8d07f.zip
930	Underworld	Underworld	0	20	0	0	20	1	1	Asc_data_maps__bea8d07f.zip
931	Astaroth	Astaroth	0	9	0	0	1	1	1	Asc_data_maps__bea8d07f.zip
932	A Wrinkle in Time	WrinkleInTime	0	9	0	0	0	1	1	Asc_data_maps__bea8d07f.zip
933	Regret's Chasm	dreamlikedungeon	0	25	0	0	4	1	1	Asc_data_maps__bea8d07f.zip
934	AzerothDev BB	azerothdev_bb	1	8	0	0	8	1	1	Asc_data_maps__bea8d07f.zip
935				176	0	0	172	1	1	Asc_data_maps__bea8d07f.zip
936	Vaults of the Inquisition	InquisitorialDungeon	1	9	0	0	0	1	1	Asc_data_maps__bea8d07f.zip
937	Road to De Other Side	SinisterLairDungeon	1	16	0	0	0	1	1	Asc_data_maps__bea8d07f.zip
938	Azga Necromancer Dungeon	AzgaNecromancerDungeon	1	7	0	0	7	1	1	Asc_data_maps__bea8d07f.zip
939	Vulture Cult Sanctuary Dungeon	VultureCultSanctuaryDungeon	1	6	0	0	6	1	1	Asc_data_maps__bea8d07f.zip
940	Shadow Bone Depths	ShadowboneDepthsDungeon	1	54	0	0	54	1	1	Asc_data_maps__bea8d07f.zip
941	Temple Of Embers	TempleOfEmbersDungeon	1	80	0	0	76	1	1	Asc_data_maps__bea8d07f.zip
951	Helya Revenge	Helyarevenge	2	141	0	0	105	1	1	Asc_data_maps__bea8d07f.zip
960	Mini Games	MiniGames	1	21	0	0	1	1	1	Asc_data_maps__bea8d07f.zip
961	Ocean Battle	oceanbattle	1	198	0	0	181	1	1	Asc_data_maps__bea8d07f.zip
965	Ocean Battle 2	oceanbattle2	0	130	0	0	0	1	1	Asc_data_maps__bea8d07f.zip
968	The Abbys	AzzarEvent	2	25	0	0	0	1	1	Asc_data_maps__bea8d07f.zip
970	Shaded Echo Tavern	orgrimmardepthstabern	1	1	0	0	0	1	1	Asc_data_maps__bea8d07f.zip
971	Stormwind Sewer Room	stormwindsewerroom	1	9	0	0	0	1	1	Asc_data_maps__bea8d07f.zip
972	Orgrimmar Depths	orgrimmardepthsunderroof	1	24	0	0	2	1	1	Asc_data_maps__bea8d07f.zip
980	Tol'viron Arena	tolvirarena	4	20	0	0	20	1	1	Asc_data_maps__bea8d07f.zip
982	Coliseum of Past Echoes	coliseumarena	4	17	0	0	17	1	1	Asc_data_maps__bea8d07f.zip
983	Imperial Arena of Thakraj	nerubianarena	4	16	0	0	16	1	1	Asc_data_maps__bea8d07f.zip
984	Maldraxxus Coliseum	maldraxxuscoliseum	4	4	0	0	4	1	1	Asc_data_maps__bea8d07f.zip
985	Nagrand Arena	nagrandarena2	4	9	0	0	9	1	1	Asc_data_maps__bea8d07f.zip
986	Blade's Edge Arena	bladesedgearena2b	4	25	0	0	25	1	1	Asc_data_maps__bea8d07f.zip
987	Warsong Gulch	PVPZone03HD	3	9	0	0	9	1	1	Asc_data_maps__bea8d07f.zip
988	Arathi Basin	PVPZone04HD	3	25	0	0	25	1	1	Asc_data_maps__bea8d07f.zip
998	Temple of Kotmogu	ValleyOfPower	3	25	0	0	15	1	1	Asc_data_maps__bea8d07f.zip
1001	Twisting Nether	TwistingNether	0	16	0	0	5	1	1	Asc_data_maps__bea8d07f.zip
1002	Twisting Nether	TwistingNether	0	16	0	0	5	1	1	Asc_data_maps__bea8d07f.zip
1003	Twisting Nether	TwistingNether	0	16	0	0	5	1	1	Asc_data_maps__bea8d07f.zip
1004	Twisting Nether	TwistingNether	0	16	0	0	5	1	1	Asc_data_maps__bea8d07f.zip
1005	Twisting Nether	TwistingNether	0	16	0	0	5	1	1	Asc_data_maps__bea8d07f.zip
1006	Twisting Nether	TwistingNether	0	16	0	0	5	1	1	Asc_data_maps__bea8d07f.zip
1007	Guardian's Hall	karazhanarena	4	6	0	0	0	1	1	Asc_data_maps__bea8d07f.zip
1008	Spark of Creator	ulduararena	4	6	0	0	0	1	1	Asc_data_maps__bea8d07f.zip
1134	The Tiger's Peak	ShadoPanArena	4	6	0	0	6	1	1	Asc_data_maps__bea8d07f.zip
1171	custom_marsh	custom_marsh	0	9	0	0	9	1	1	Asc_data_maps__bea8d07f.zip
1177	SpellVisualMap	SpellVisualMap	0	25	0	0	0	1	1	Asc_data_maps__bea8d07f.zip
1199	Instwood	INSTWOOD	0	4	0	0	4	1	1	Asc_data_maps__bea8d07f.zip
1200	Lordaeron	Lordaeron	0	4	0	0	4	1	1	Asc_data_maps__bea8d07f.zip
1201	Haunted Valley	STRATHOLME_HARBOR	0	4	0	0	4	1	1	Asc_data_maps__bea8d07f.zip
1280	Southshore vs. Tarren Mill	TrollRaid2	3	36	0	0	36	1	1	Asc_data_maps__bea8d07f.zip
1401	Baradin Hold Arena	BaradinHoldArena	4	42	0	0	33	1	1	Asc_data_maps__bea8d07f.zip
1402	Obelisk of the Stars	obeliskofthestarts	4	18	0	0	18	1	1	Asc_data_maps__bea8d07f.zip
1403	The Twisting Nether	thetwistingnether	4	9	0	0	0	1	1	Asc_data_maps__bea8d07f.zip
1504	Black Rook Hold Arena	BlackrookHoldArena	4	9	0	0	9	1	1	Asc_data_maps__bea8d07f.zip
1552	Ashamane's Fall	valsharaharena	4	9	0	0	9	1	1	Asc_data_maps__bea8d07f.zip
1681	Arathi Basin Winter	ABWinter	3	16	0	0	16	1	1	Asc_data_maps__bea8d07f.zip
1682	Warsong Gulch Winter	WSGWinter	3	16	0	0	13	1	1	Asc_data_maps__bea8d07f.zip
1683	The Inventor's Library	ulduaroutarena	4	9	0	0	9	1	1	Asc_data_maps__bea8d07f.zip
1684	Amphitheater of Anguish	gundrakarena	4	9	0	0	9	1	1	Asc_data_maps__bea8d07f.zip
1686	Assault on Alcaz Island	AlcazTDM	3	6	0	0	6	1	1	Asc_data_maps__bea8d07f.zip
1690	Alterac Assault	AlteracTDM	3	15	0	0	15	1	1	Asc_data_maps__bea8d07f.zip
1693	Andorhal Attack	AndorhalTDM	3	11	0	0	11	1	1	Asc_data_maps__bea8d07f.zip
1696	War on Zin-Malor	BayOfStormsTDM	3	17	0	0	17	1	1	Asc_data_maps__bea8d07f.zip
1700	Battle of Bladespire Hold	BladespireTDM	3	11	0	0	11	1	1	Asc_data_maps__bea8d07f.zip
1703	Battle of Booty Bay	BootyBayTDM	3	10	0	0	10	1	1	Asc_data_maps__bea8d07f.zip
1706	Skirmish in the Steppes	BurningSteppesTDM	3	12	0	0	12	1	1	Asc_data_maps__bea8d07f.zip
1709	Clash in The Cauldron	CauldronTDM	3	7	0	0	7	1	1	Asc_data_maps__bea8d07f.zip
1713	Deatholme Deathmatch	DeatholmeTDM	3	9	0	0	9	1	1	Asc_data_maps__bea8d07f.zip
1716	Battle of Dire Maul	DireMaulTDM	3	10	0	0	10	1	1	Asc_data_maps__bea8d07f.zip
1718	Feathermoon Clash	FeathermoonTDM	3	22	0	0	22	1	1	Asc_data_maps__bea8d07f.zip
1720	Frostwhisper Fallout	FrostwhisperGorgeTDM	3	12	0	0	12	1	1	Asc_data_maps__bea8d07f.zip
1722	Silverpine Showdown	GreymaneWallTDM	3	12	0	0	12	1	1	Asc_data_maps__bea8d07f.zip
1725	Battle for Nagrand	HalaaTDM	3	17	0	0	17	1	1	Asc_data_maps__bea8d07f.zip
1727	Hellfire Havoc	HellfireTDM	3	20	0	0	20	1	1	Asc_data_maps__bea8d07f.zip
1730	War of the World Tree	HyjalTDM	3	12	0	0	12	1	1	Asc_data_maps__bea8d07f.zip
1733	Airstrip Assault	IronforgeAirstripTDM	3	8	0	0	8	1	1	Asc_data_maps__bea8d07f.zip
1735	Bloodshed in The Barrens	LushwaterTDM	3	8	0	0	8	1	1	Asc_data_maps__bea8d07f.zip
1740	Excavation of Ahn'Qiraj	QirajTDM	3	12	0	0	12	1	1	Asc_data_maps__bea8d07f.zip
1741	Stonewatch Slaughter	StonewatchTDM	3	9	0	0	9	1	1	Asc_data_maps__bea8d07f.zip
1748	Slaughter in Stromgarde	StromgardeTDM	3	12	0	0	12	1	1	Asc_data_maps__bea8d07f.zip
1751	Battle for Theramore	TheramoreTDM	3	9	0	0	9	1	1	Asc_data_maps__bea8d07f.zip
1753	Tor'Watha	TorWathaTDM	3	9	0	0	9	1	1	Asc_data_maps__bea8d07f.zip
1754	Carnage in the Crater	UngoroTDM	3	25	0	0	25	1	1	Asc_data_maps__bea8d07f.zip
1755	Warsong Lumber War	WarsongLumberTDM	3	12	0	0	12	1	1	Asc_data_maps__bea8d07f.zip
1757	War of Windshear Crag	WindshearTDM	3	8	0	0	8	1	1	Asc_data_maps__bea8d07f.zip
1758	The Crucible (Staging)	Northrend_Crucible	1	30	0	0	29	1	1	Asc_data_maps__bea8d07f.zip
1759	The Crucible	Northrend_Crucible	1	30	0	0	29	1	1	Asc_data_maps__bea8d07f.zip
1760	Redridge Mountains	RedridgeMountains	1	25	0	0	25	1	1	Asc_data_maps__bea8d07f.zip
1761	Alterac Mountains	AlteracMountains	1	25	0	0	25	1	1	Asc_data_maps__bea8d07f.zip
1762	Blasted Lands	BlastedLands	1	25	0	0	25	1	1	Asc_data_maps__bea8d07f.zip
1763	Eastern Plaguelands	EasternPlaguelands	1	49	0	0	47	1	1	Asc_data_maps__bea8d07f.zip
1764	Feralas	Feralas	1	49	0	0	49	1	1	Asc_data_maps__bea8d07f.zip
1765	Hillsbrad Foothills	HillsbradFoothills	1	49	0	0	48	1	1	Asc_data_maps__bea8d07f.zip
1766	Silverpine Forest	SilverpineForest	1	49	0	0	45	1	1	Asc_data_maps__bea8d07f.zip
1767	Tanaris	Tanaris	1	49	0	0	47	1	1	Asc_data_maps__bea8d07f.zip
1768	Western Plaguelands	WesternPlaguelands	1	25	0	0	25	1	1	Asc_data_maps__bea8d07f.zip
1769	Westfall	Westfall	1	49	0	0	46	1	1	Asc_data_maps__bea8d07f.zip
1770	Winterspring	Winterspring	1	49	0	0	43	1	1	Asc_data_maps__bea8d07f.zip
1771	The Grim Marsh	custom_marsh	1	9	0	0	9	1	1	Asc_data_maps__bea8d07f.zip
1772	Snow Crate	custom_snow	1	12	0	0	12	1	1	Asc_data_maps__bea8d07f.zip
1773	custom_troll	custom_troll	1	12	0	0	12	1	1	Asc_data_maps__bea8d07f.zip
1774	Eonar's Cradle	custom_tropical	1	4	0	0	4	1	1	Asc_data_maps__bea8d07f.zip
1775	Iskarr Village	custom_tuskarr	1	12	0	0	12	1	1	Asc_data_maps__bea8d07f.zip
1776	Vardrheim	custom_vrykul1	1	28	0	0	14	1	1	Asc_data_maps__bea8d07f.zip
1777	custom_vrykul2	custom_vrykul2	1	12	0	0	12	1	1	Asc_data_maps__bea8d07f.zip
1778	Darkwhisper Gorge	Darkwhisper	1	9	0	0	9	1	1	Asc_data_maps__bea8d07f.zip
1779	Shadow Hold	Jaedenar	1	6	0	0	6	1	1	Asc_data_maps__bea8d07f.zip
1781	Forgotten Mine	ForgottenMine	1	9	0	0	9	1	1	Asc_data_maps__bea8d07f.zip
1782	Blasted Lands - Test	BlastedLands	1	25	0	0	25	1	1	Asc_data_maps__bea8d07f.zip
1783	Elwynn Forest	Elwynn	1	24	0	0	24	1	1	Asc_data_maps__bea8d07f.zip
1784	Black Rook Hold Arena	BlackrookHoldArena	1	9	0	0	9	1	1	Asc_data_maps__bea8d07f.zip
1785	Ashamane's Fall	valsharaharena	1	9	0	0	9	1	1	Asc_data_maps__bea8d07f.zip
1786	Obelisk of the Stars	obeliskofthestarts	1	18	0	0	18	1	1	Asc_data_maps__bea8d07f.zip
1787	Baradin Hold	BaradinHoldArena	1	42	0	0	33	1	1	Asc_data_maps__bea8d07f.zip
