realm	mode	npc	npc_key	npc_name	slot	item	item_name	money_cost	quantity	available	usable	extended_cost	honor_cost	arena_cost	cost_item_1	cost_count_1	cost_item_2	cost_count_2	cost_item_3	cost_count_3	captured
Darkmoon	Season 10 Wildcard	12781	12781:18448:31	Master Sergeant Biggins	17	18863	Insignia of the Alliance	5000	1	-1	1	0	0	0							2026-09-01 00:54:49
Darkmoon	Season 10 Wildcard	12781	12781:18448:31	Master Sergeant Biggins	18	18864	Insignia of the Alliance	200000	1	-1		0	0	0							2026-09-01 00:54:49
Darkmoon	Season 10 Wildcard	12781	12781:18448:31	Master Sergeant Biggins	19	18606	Alliance Battle Standard	0	1	-1	1	1	15300	0							2026-09-01 00:54:49
Darkmoon	Season 10 Wildcard	12781	12781:18448:31	Master Sergeant Biggins	20	1235070	Bloody Mark of War	0	1	-1	1	1	1000	0							2026-09-01 00:54:49
Darkmoon	Season 10 Wildcard	12781	12781:18448:31	Master Sergeant Biggins	21	18839	Combat Healing Potion	1100	1	-1		1	1	0							2026-09-01 00:54:49
Darkmoon	Season 10 Wildcard	12781	12781:18448:31	Master Sergeant Biggins	22	18841	Combat Mana Potion	1100	1	-1		1	1	0							2026-09-01 00:54:49
Darkmoon	Season 10 Wildcard	12781	12781:18448:31	Master Sergeant Biggins	23	45706	Commendation of Bravery	0	1	-1	1	1	0	100							2026-09-01 00:54:49
Darkmoon	Season 10 Wildcard	12781	12781:18448:31	Master Sergeant Biggins	24	449571	Lesser Inscription of the Battle Mage	0	1	-1		1	20000	0							2026-09-01 00:54:49
Darkmoon	Season 10 Wildcard	12781	12781:18448:31	Master Sergeant Biggins	25	449570	Lesser Inscription of the Gladiator	0	1	-1		1	20000	0							2026-09-01 00:54:49
Darkmoon	Season 10 Wildcard	12781	12781:18448:31	Master Sergeant Biggins	26	18675	Military Ranks of the Horde & Alliance	100	1	-1	1	0	0	0							2026-09-01 00:54:49
Darkmoon	Season 10 Wildcard	12781	12781:18448:31	Master Sergeant Biggins	27	32455	Star's Lament	6000	5	-1		0	0	0							2026-09-01 00:54:49
Darkmoon	Season 10 Wildcard	12781	12781:18448:31	Master Sergeant Biggins	28	106954	Tome of Specialization II	0	1	-1	1	1	68200	0							2026-09-01 00:54:49
Darkmoon	Season 10 Wildcard	12781	12781:18448:31	Master Sergeant Biggins	29	97730	Worldforged Key Fragment	0	1	-1	1	1	10000	0							2026-09-01 00:54:49
Darkmoon	Season 10 Wildcard	12781	12781:18448:31	Master Sergeant Biggins	30	15198	Knight's Colors	0	1	-1	1	1	20000	0							2026-09-01 00:54:49
Darkmoon	Season 10 Wildcard	12781	12781:18448:31	Master Sergeant Biggins	31	15196	Private's Tabard	0	1	-1	1	1	15000	0							2026-09-01 00:54:49
Darkmoon	Season 10 Wildcard	12781	12781:19531:48	Master Sergeant Biggins	1	19531	Caretaker's Cape	0	1	-1		1	1800	0							2026-09-01 00:54:57
Darkmoon	Season 10 Wildcard	12781	12781:19531:48	Master Sergeant Biggins	2	19532	Caretaker's Cape	0	1	-1		1	1600	0							2026-09-01 00:54:57
Darkmoon	Season 10 Wildcard	12781	12781:19531:48	Master Sergeant Biggins	3	19533	Caretaker's Cape	0	1	-1		1	1200	0							2026-09-01 00:54:57
Darkmoon	Season 10 Wildcard	12781	12781:19531:48	Master Sergeant Biggins	4	20428	Caretaker's Cape	0	1	-1	1	1	750	0							2026-09-01 00:54:57
Darkmoon	Season 10 Wildcard	12781	12781:19531:48	Master Sergeant Biggins	5	19539	Sentinel's Medallion	0	1	-1		1	1800	0							2026-09-01 00:54:57
Darkmoon	Season 10 Wildcard	12781	12781:19531:48	Master Sergeant Biggins	6	19540	Sentinel's Medallion	0	1	-1		1	1600	0							2026-09-01 00:54:57
Darkmoon	Season 10 Wildcard	12781	12781:19531:48	Master Sergeant Biggins	7	19541	Sentinel's Medallion	0	1	-1		1	1200	0							2026-09-01 00:54:57
Darkmoon	Season 10 Wildcard	12781	12781:19531:48	Master Sergeant Biggins	8	20444	Sentinel's Medallion	0	1	-1	1	1	750	0							2026-09-01 00:54:57
Darkmoon	Season 10 Wildcard	12781	12781:19531:48	Master Sergeant Biggins	9	19523	Lorekeeper's Ring	0	1	-1		1	1800	0							2026-09-01 00:54:57
Darkmoon	Season 10 Wildcard	12781	12781:19531:48	Master Sergeant Biggins	10	19524	Lorekeeper's Ring	0	1	-1		1	1600	0							2026-09-01 00:54:57
Darkmoon	Season 10 Wildcard	12781	12781:19531:48	Master Sergeant Biggins	11	19525	Lorekeeper's Ring	0	1	-1		1	1200	0							2026-09-01 00:54:57
Darkmoon	Season 10 Wildcard	12781	12781:19531:48	Master Sergeant Biggins	12	20431	Lorekeeper's Ring	0	1	-1	1	1	750	0							2026-09-01 00:54:57
Darkmoon	Season 10 Wildcard	12781	12781:19531:48	Master Sergeant Biggins	13	19515	Protector's Band	0	1	-1		1	1600	0							2026-09-01 00:54:57
Darkmoon	Season 10 Wildcard	12781	12781:19531:48	Master Sergeant Biggins	14	19516	Protector's Band	0	1	-1		1	1800	0							2026-09-01 00:54:57
Darkmoon	Season 10 Wildcard	12781	12781:19531:48	Master Sergeant Biggins	15	19517	Protector's Band	0	1	-1		1	1200	0							2026-09-01 00:54:57
Darkmoon	Season 10 Wildcard	12781	12781:19531:48	Master Sergeant Biggins	16	20439	Protector's Band	0	1	-1	1	1	750	0							2026-09-01 00:54:57
Darkmoon	Season 10 Wildcard	12781	12781:19531:48	Master Sergeant Biggins	17	212345	Rune of Duty	0	1	-1	1	1	750	0							2026-09-01 00:54:57
Darkmoon	Season 10 Wildcard	12781	12781:19531:48	Master Sergeant Biggins	18	212346	Rune of Duty	0	1	-1		1	1600	0							2026-09-01 00:54:57
Darkmoon	Season 10 Wildcard	12781	12781:19531:48	Master Sergeant Biggins	19	212347	Rune of Perfection	0	1	-1	1	1	750	0							2026-09-01 00:54:57
Darkmoon	Season 10 Wildcard	12781	12781:19531:48	Master Sergeant Biggins	20	212348	Rune of Perfection	0	1	-1		1	1600	0							2026-09-01 00:54:57
Darkmoon	Season 10 Wildcard	12781	12781:19531:48	Master Sergeant Biggins	21	19571	Lorekeeper's Staff	0	1	-1		1	5400	0							2026-09-01 00:54:57
Darkmoon	Season 10 Wildcard	12781	12781:19531:48	Master Sergeant Biggins	22	19572	Lorekeeper's Staff	0	1	-1		1	4800	0							2026-09-01 00:54:57
Darkmoon	Season 10 Wildcard	12781	12781:19531:48	Master Sergeant Biggins	23	19573	Lorekeeper's Staff	0	1	-1		1	3600	0							2026-09-01 00:54:57
Darkmoon	Season 10 Wildcard	12781	12781:19531:48	Master Sergeant Biggins	24	20434	Lorekeeper's Staff	0	1	-1	1	1	2250	0							2026-09-01 00:54:57
Darkmoon	Season 10 Wildcard	12781	12781:19531:48	Master Sergeant Biggins	25	19555	Protector's Sword	0	1	-1		1	5400	0							2026-09-01 00:54:57
Darkmoon	Season 10 Wildcard	12781	12781:19531:48	Master Sergeant Biggins	26	19556	Protector's Sword	0	1	-1		1	4800	0							2026-09-01 00:54:57
Darkmoon	Season 10 Wildcard	12781	12781:19531:48	Master Sergeant Biggins	27	19557	Protector's Sword	0	1	-1		1	3600	0							2026-09-01 00:54:57
Darkmoon	Season 10 Wildcard	12781	12781:19531:48	Master Sergeant Biggins	28	20440	Protector's Sword	0	1	-1	1	1	2250	0							2026-09-01 00:54:57
Darkmoon	Season 10 Wildcard	12781	12781:19531:48	Master Sergeant Biggins	29	19547	Sentinel's Blade	0	1	-1		1	5400	0							2026-09-01 00:54:57
Darkmoon	Season 10 Wildcard	12781	12781:19531:48	Master Sergeant Biggins	30	19548	Sentinel's Blade	0	1	-1		1	4800	0							2026-09-01 00:54:57
Darkmoon	Season 10 Wildcard	12781	12781:19531:48	Master Sergeant Biggins	31	19549	Sentinel's Blade	0	1	-1		1	3600	0							2026-09-01 00:54:57
Darkmoon	Season 10 Wildcard	12781	12781:19531:48	Master Sergeant Biggins	32	20443	Sentinel's Blade	0	1	-1	1	1	2250	0							2026-09-01 00:54:57
Darkmoon	Season 10 Wildcard	12781	12781:19531:48	Master Sergeant Biggins	33	19563	Outrunner's Bow	0	1	-1		1	5400	0							2026-09-01 00:54:57
Darkmoon	Season 10 Wildcard	12781	12781:19531:48	Master Sergeant Biggins	34	19564	Outrunner's Bow	0	1	-1		1	4800	0							2026-09-01 00:54:57
Darkmoon	Season 10 Wildcard	12781	12781:19531:48	Master Sergeant Biggins	35	19565	Outrunner's Bow	0	1	-1		1	3600	0							2026-09-01 00:54:57
Darkmoon	Season 10 Wildcard	12781	12781:19531:48	Master Sergeant Biggins	36	20438	Outrunner's Bow	0	1	-1	1	1	2250	0							2026-09-01 00:54:57
Darkmoon	Season 10 Wildcard	12781	12781:19531:48	Master Sergeant Biggins	37	17348	Major Healing Draught	1500	1	-1		1	8	0							2026-09-01 00:54:57
Darkmoon	Season 10 Wildcard	12781	12781:19531:48	Master Sergeant Biggins	38	17351	Major Mana Draught	1500	1	-1		1	8	0							2026-09-01 00:54:57
Darkmoon	Season 10 Wildcard	12781	12781:19531:48	Master Sergeant Biggins	39	499987	Reins of the Silverwing Nightsaber	0	1	-1		1	68200	0							2026-09-01 00:54:57
Darkmoon	Season 10 Wildcard	12781	12781:19531:48	Master Sergeant Biggins	40	17349	Superior Healing Draught	1100	1	-1		1	1	0							2026-09-01 00:54:57
Darkmoon	Season 10 Wildcard	12781	12781:19531:48	Master Sergeant Biggins	41	17352	Superior Mana Draught	1100	1	-1		1	1	0							2026-09-01 00:54:57
Darkmoon	Season 10 Wildcard	12781	12781:19531:48	Master Sergeant Biggins	42	19060	Warsong Gulch Enriched Ration	2000	5	-1		0	0	0							2026-09-01 00:54:57
Darkmoon	Season 10 Wildcard	12781	12781:19531:48	Master Sergeant Biggins	43	19062	Warsong Gulch Field Ration	1000	5	-1		0	0	0							2026-09-01 00:54:57
Darkmoon	Season 10 Wildcard	12781	12781:19531:48	Master Sergeant Biggins	44	19061	Warsong Gulch Iron Ration	1500	5	-1		0	0	0							2026-09-01 00:54:57
Darkmoon	Season 10 Wildcard	12781	12781:19531:48	Master Sergeant Biggins	45	19067	Warsong Gulch Mageweave Bandage	1500	5	-1		0	0	0							2026-09-01 00:54:57
Darkmoon	Season 10 Wildcard	12781	12781:19531:48	Master Sergeant Biggins	46	19066	Warsong Gulch Runecloth Bandage	2000	5	-1		0	0	0							2026-09-01 00:54:57
Darkmoon	Season 10 Wildcard	12781	12781:19531:48	Master Sergeant Biggins	47	19068	Warsong Gulch Silk Bandage	1000	5	-1		0	0	0							2026-09-01 00:54:57
Darkmoon	Season 10 Wildcard	12781	12781:19531:48	Master Sergeant Biggins	48	19506	Silverwing Battle Tabard	0	1	-1	1	1	12000	0							2026-09-01 00:54:57
Darkmoon	Season 10 Wildcard	12781	12781:20088:54	Master Sergeant Biggins	1	20088	Highlander's Chain Girdle	0	1	-1		1	5400	0							2026-09-01 00:54:59
Darkmoon	Season 10 Wildcard	12781	12781:20088:54	Master Sergeant Biggins	2	20089	Highlander's Chain Girdle	0	1	-1		1	1600	0							2026-09-01 00:54:59
Darkmoon	Season 10 Wildcard	12781	12781:20088:54	Master Sergeant Biggins	3	20097	Highlander's Cloth Girdle	0	1	-1		1	5400	0							2026-09-01 00:54:59
Darkmoon	Season 10 Wildcard	12781	12781:20088:54	Master Sergeant Biggins	4	20098	Highlander's Cloth Girdle	0	1	-1		1	1600	0							2026-09-01 00:54:59
Darkmoon	Season 10 Wildcard	12781	12781:20088:54	Master Sergeant Biggins	5	20099	Highlander's Cloth Girdle	0	1	-1		1	1200	0							2026-09-01 00:54:59
Darkmoon	Season 10 Wildcard	12781	12781:20088:54	Master Sergeant Biggins	6	20106	Highlander's Lamellar Girdle	0	1	-1		1	5400	0							2026-09-01 00:54:59
Darkmoon	Season 10 Wildcard	12781	12781:20088:54	Master Sergeant Biggins	7	20107	Highlander's Lamellar Girdle	0	1	-1		1	1600	0							2026-09-01 00:54:59
Darkmoon	Season 10 Wildcard	12781	12781:20088:54	Master Sergeant Biggins	8	20108	Highlander's Lamellar Girdle	0	1	-1		1	1200	0							2026-09-01 00:54:59
Darkmoon	Season 10 Wildcard	12781	12781:20088:54	Master Sergeant Biggins	9	20115	Highlander's Leather Girdle	0	1	-1		1	5400	0							2026-09-01 00:54:59
Darkmoon	Season 10 Wildcard	12781	12781:20088:54	Master Sergeant Biggins	10	20116	Highlander's Leather Girdle	0	1	-1		1	1600	0							2026-09-01 00:54:59
Darkmoon	Season 10 Wildcard	12781	12781:20088:54	Master Sergeant Biggins	11	20117	Highlander's Leather Girdle	0	1	-1		1	1200	0							2026-09-01 00:54:59
Darkmoon	Season 10 Wildcard	12781	12781:20088:54	Master Sergeant Biggins	12	20103	Highlander's Lizardhide Girdle	0	1	-1		1	5400	0							2026-09-01 00:54:59
Darkmoon	Season 10 Wildcard	12781	12781:20088:54	Master Sergeant Biggins	13	20104	Highlander's Lizardhide Girdle	0	1	-1		1	1600	0							2026-09-01 00:54:59
Darkmoon	Season 10 Wildcard	12781	12781:20088:54	Master Sergeant Biggins	14	20105	Highlander's Lizardhide Girdle	0	1	-1		1	1200	0							2026-09-01 00:54:59
Darkmoon	Season 10 Wildcard	12781	12781:20088:54	Master Sergeant Biggins	15	20118	Highlander's Mail Girdle	0	1	-1		1	5400	0							2026-09-01 00:54:59
Darkmoon	Season 10 Wildcard	12781	12781:20088:54	Master Sergeant Biggins	16	20119	Highlander's Mail Girdle	0	1	-1		1	1600	0							2026-09-01 00:54:59
Darkmoon	Season 10 Wildcard	12781	12781:20088:54	Master Sergeant Biggins	17	20120	Highlander's Mail Girdle	0	1	-1		1	1200	0							2026-09-01 00:54:59
Darkmoon	Season 10 Wildcard	12781	12781:20088:54	Master Sergeant Biggins	18	20126	Highlander's Mail Girdle	0	1	-1		1	1200	0							2026-09-01 00:54:59
Darkmoon	Season 10 Wildcard	12781	12781:20088:54	Master Sergeant Biggins	19	20090	Highlander's Padded Girdle	0	1	-1		1	1200	0							2026-09-01 00:54:59
Darkmoon	Season 10 Wildcard	12781	12781:20088:54	Master Sergeant Biggins	20	20124	Highlander's Plate Girdle	0	1	-1		1	5400	0							2026-09-01 00:54:59
Darkmoon	Season 10 Wildcard	12781	12781:20088:54	Master Sergeant Biggins	21	20125	Highlander's Plate Girdle	0	1	-1		1	1600	0							2026-09-01 00:54:59
Darkmoon	Season 10 Wildcard	12781	12781:20088:54	Master Sergeant Biggins	22	20091	Highlander's Chain Greaves	0	1	-1		1	5400	0							2026-09-01 00:54:59
Darkmoon	Season 10 Wildcard	12781	12781:20088:54	Master Sergeant Biggins	23	20092	Highlander's Chain Greaves	0	1	-1		1	1600	0							2026-09-01 00:54:59
Darkmoon	Season 10 Wildcard	12781	12781:20088:54	Master Sergeant Biggins	24	20094	Highlander's Cloth Boots	0	1	-1		1	5400	0							2026-09-01 00:54:59
Darkmoon	Season 10 Wildcard	12781	12781:20088:54	Master Sergeant Biggins	25	20095	Highlander's Cloth Boots	0	1	-1		1	1600	0							2026-09-01 00:54:59
Darkmoon	Season 10 Wildcard	12781	12781:20088:54	Master Sergeant Biggins	26	20096	Highlander's Cloth Boots	0	1	-1		1	1200	0							2026-09-01 00:54:59
Darkmoon	Season 10 Wildcard	12781	12781:20088:54	Master Sergeant Biggins	27	20109	Highlander's Lamellar Greaves	0	1	-1		1	5400	0							2026-09-01 00:54:59
Darkmoon	Season 10 Wildcard	12781	12781:20088:54	Master Sergeant Biggins	28	20110	Highlander's Lamellar Greaves	0	1	-1		1	1600	0							2026-09-01 00:54:59
Darkmoon	Season 10 Wildcard	12781	12781:20088:54	Master Sergeant Biggins	29	20111	Highlander's Lamellar Greaves	0	1	-1		1	1200	0							2026-09-01 00:54:59
Darkmoon	Season 10 Wildcard	12781	12781:20088:54	Master Sergeant Biggins	30	20112	Highlander's Leather Boots	0	1	-1		1	5400	0							2026-09-01 00:54:59
Darkmoon	Season 10 Wildcard	12781	12781:20088:54	Master Sergeant Biggins	31	20113	Highlander's Leather Boots	0	1	-1		1	1600	0							2026-09-01 00:54:59
Darkmoon	Season 10 Wildcard	12781	12781:20088:54	Master Sergeant Biggins	32	20114	Highlander's Leather Boots	0	1	-1		1	1200	0							2026-09-01 00:54:59
Darkmoon	Season 10 Wildcard	12781	12781:20088:54	Master Sergeant Biggins	33	20100	Highlander's Lizardhide Boots	0	1	-1		1	5400	0							2026-09-01 00:54:59
Darkmoon	Season 10 Wildcard	12781	12781:20088:54	Master Sergeant Biggins	34	20101	Highlander's Lizardhide Boots	0	1	-1		1	1600	0							2026-09-01 00:54:59
Darkmoon	Season 10 Wildcard	12781	12781:20088:54	Master Sergeant Biggins	35	20102	Highlander's Lizardhide Boots	0	1	-1		1	1200	0							2026-09-01 00:54:59
Darkmoon	Season 10 Wildcard	12781	12781:20088:54	Master Sergeant Biggins	36	20121	Highlander's Mail Greaves	0	1	-1		1	5400	0							2026-09-01 00:54:59
Darkmoon	Season 10 Wildcard	12781	12781:20088:54	Master Sergeant Biggins	37	20122	Highlander's Mail Greaves	0	1	-1		1	1600	0							2026-09-01 00:54:59
Darkmoon	Season 10 Wildcard	12781	12781:20088:54	Master Sergeant Biggins	38	20123	Highlander's Mail Greaves	0	1	-1		1	1200	0							2026-09-01 00:54:59
Darkmoon	Season 10 Wildcard	12781	12781:20088:54	Master Sergeant Biggins	39	20129	Highlander's Mail Greaves	0	1	-1		1	1200	0							2026-09-01 00:54:59
Darkmoon	Season 10 Wildcard	12781	12781:20088:54	Master Sergeant Biggins	40	20093	Highlander's Padded Greaves	0	1	-1		1	1200	0							2026-09-01 00:54:59
Darkmoon	Season 10 Wildcard	12781	12781:20088:54	Master Sergeant Biggins	41	20127	Highlander's Plate Greaves	0	1	-1		1	5400	0							2026-09-01 00:54:59
Darkmoon	Season 10 Wildcard	12781	12781:20088:54	Master Sergeant Biggins	42	20128	Highlander's Plate Greaves	0	1	-1		1	1600	0							2026-09-01 00:54:59
Darkmoon	Season 10 Wildcard	12781	12781:20088:54	Master Sergeant Biggins	43	21117	Talisman of Arathor	0	1	-1		1	5400	0							2026-09-01 00:54:59
Darkmoon	Season 10 Wildcard	12781	12781:20088:54	Master Sergeant Biggins	44	21118	Talisman of Arathor	0	1	-1		1	1600	0							2026-09-01 00:54:59
Darkmoon	Season 10 Wildcard	12781	12781:20088:54	Master Sergeant Biggins	45	21119	Talisman of Arathor	0	1	-1		1	1200	0							2026-09-01 00:54:59
Darkmoon	Season 10 Wildcard	12781	12781:20088:54	Master Sergeant Biggins	46	20225	Highlander's Enriched Ration	2000	5	-1		0	0	0							2026-09-01 00:54:59
Darkmoon	Season 10 Wildcard	12781	12781:20088:54	Master Sergeant Biggins	47	20226	Highlander's Field Ration	1000	5	-1		0	0	0							2026-09-01 00:54:59
Darkmoon	Season 10 Wildcard	12781	12781:20088:54	Master Sergeant Biggins	48	20227	Highlander's Iron Ration	1500	5	-1		0	0	0							2026-09-01 00:54:59
Darkmoon	Season 10 Wildcard	12781	12781:20088:54	Master Sergeant Biggins	49	20237	Highlander's Mageweave Bandage	1500	5	-1		0	0	0							2026-09-01 00:54:59
Darkmoon	Season 10 Wildcard	12781	12781:20088:54	Master Sergeant Biggins	50	20243	Highlander's Runecloth Bandage	2000	5	-1		0	0	0							2026-09-01 00:54:59
Darkmoon	Season 10 Wildcard	12781	12781:20088:54	Master Sergeant Biggins	51	20244	Highlander's Silk Bandage	1000	5	-1		0	0	0							2026-09-01 00:54:59
Darkmoon	Season 10 Wildcard	12781	12781:20088:54	Master Sergeant Biggins	52	17349	Superior Healing Draught	1100	1	-1		1	1	0							2026-09-01 00:54:59
Darkmoon	Season 10 Wildcard	12781	12781:20088:54	Master Sergeant Biggins	53	17352	Superior Mana Draught	1100	1	-1		1	1	0							2026-09-01 00:54:59
Darkmoon	Season 10 Wildcard	12781	12781:20088:54	Master Sergeant Biggins	54	20132	Arathor Battle Tabard	0	1	-1	1	1	12000	0							2026-09-01 00:54:59
Darkmoon	Season 10 Wildcard	12781	12781:53870:34	Master Sergeant Biggins	1	53870	Stormpike Guard Commendation Badge	0	1	-1	1	1	2500	0							2026-09-01 00:55:02
Darkmoon	Season 10 Wildcard	12781	12781:53870:34	Master Sergeant Biggins	2	19094	Stormpike Cloth Girdle	0	1	-1		1	3000	0							2026-09-01 00:55:02
Darkmoon	Season 10 Wildcard	12781	12781:53870:34	Master Sergeant Biggins	3	19093	Stormpike Leather Girdle	0	1	-1		1	3000	0							2026-09-01 00:55:02
Darkmoon	Season 10 Wildcard	12781	12781:53870:34	Master Sergeant Biggins	4	19092	Stormpike Mail Girdle	0	1	-1		1	3000	0							2026-09-01 00:55:02
Darkmoon	Season 10 Wildcard	12781	12781:53870:34	Master Sergeant Biggins	5	19091	Stormpike Plate Girdle	0	1	-1		1	3000	0							2026-09-01 00:55:02
Darkmoon	Season 10 Wildcard	12781	12781:53870:34	Master Sergeant Biggins	6	19086	Stormpike Sage's Cloak	0	1	-1		1	1600	0							2026-09-01 00:55:02
Darkmoon	Season 10 Wildcard	12781	12781:53870:34	Master Sergeant Biggins	7	19084	Stormpike Soldier's Cloak	0	1	-1		1	1600	0							2026-09-01 00:55:02
Darkmoon	Season 10 Wildcard	12781	12781:53870:34	Master Sergeant Biggins	8	19098	Stormpike Sage's Pendant	0	1	-1		1	1600	0							2026-09-01 00:55:02
Darkmoon	Season 10 Wildcard	12781	12781:53870:34	Master Sergeant Biggins	9	19097	Stormpike Soldier's Pendant	0	1	-1		1	1600	0							2026-09-01 00:55:02
Darkmoon	Season 10 Wildcard	12781	12781:53870:34	Master Sergeant Biggins	10	19325	Don Julio's Band	0	1	-1		1	2400	0							2026-09-01 00:55:02
Darkmoon	Season 10 Wildcard	12781	12781:53870:34	Master Sergeant Biggins	11	21563	Don Rodrigo's Band	0	1	-1		1	2400	0							2026-09-01 00:55:02
Darkmoon	Season 10 Wildcard	12781	12781:53870:34	Master Sergeant Biggins	12	19102	Crackling Staff	0	1	-1		1	7200	0							2026-09-01 00:55:02
Darkmoon	Season 10 Wildcard	12781	12781:53870:34	Master Sergeant Biggins	13	19323	The Unstoppable Force	0	1	-1		1	7200	0							2026-09-01 00:55:02
Darkmoon	Season 10 Wildcard	12781	12781:53870:34	Master Sergeant Biggins	14	19100	Electrified Dagger	0	1	-1		1	3600	0							2026-09-01 00:55:02
Darkmoon	Season 10 Wildcard	12781	12781:53870:34	Master Sergeant Biggins	15	19104	Stormstrike Hammer	0	1	-1		1	3600	0							2026-09-01 00:55:02
Darkmoon	Season 10 Wildcard	12781	12781:53870:34	Master Sergeant Biggins	16	19324	The Lobotomizer	0	1	-1		1	3600	0							2026-09-01 00:55:02
Darkmoon	Season 10 Wildcard	12781	12781:53870:34	Master Sergeant Biggins	17	19321	The Immovable Object	0	1	-1		1	3600	0							2026-09-01 00:55:02
Darkmoon	Season 10 Wildcard	12781	12781:53870:34	Master Sergeant Biggins	18	19312	Lei of the Lifegiver	0	1	-1		1	3600	0							2026-09-01 00:55:02
Darkmoon	Season 10 Wildcard	12781	12781:53870:34	Master Sergeant Biggins	19	19315	Therazane's Touch	0	1	-1		1	3600	0							2026-09-01 00:55:02
Darkmoon	Season 10 Wildcard	12781	12781:53870:34	Master Sergeant Biggins	20	19308	Tome of Arcane Domination	0	1	-1		1	3600	0							2026-09-01 00:55:02
Darkmoon	Season 10 Wildcard	12781	12781:53870:34	Master Sergeant Biggins	21	19311	Tome of Fiery Arcana	0	1	-1		1	3600	0							2026-09-01 00:55:02
Darkmoon	Season 10 Wildcard	12781	12781:53870:34	Master Sergeant Biggins	22	19309	Tome of Shadow Force	0	1	-1		1	3600	0							2026-09-01 00:55:02
Darkmoon	Season 10 Wildcard	12781	12781:53870:34	Master Sergeant Biggins	23	19310	Tome of the Ice Lord	0	1	-1		1	3600	0							2026-09-01 00:55:02
Darkmoon	Season 10 Wildcard	12781	12781:53870:34	Master Sergeant Biggins	24	19307	Alterac Heavy Runecloth Bandage	8000	20	-1		0	0	0							2026-09-01 00:55:02
Darkmoon	Season 10 Wildcard	12781	12781:53870:34	Master Sergeant Biggins	25	212374	Bottled Alterac Spring Water	5000	5	-1		0	0	0							2026-09-01 00:55:02
Darkmoon	Season 10 Wildcard	12781	12781:53870:34	Master Sergeant Biggins	26	17348	Major Healing Draught	1500	1	-1		1	8	0							2026-09-01 00:55:02
Darkmoon	Season 10 Wildcard	12781	12781:53870:34	Master Sergeant Biggins	27	17351	Major Mana Draught	1500	1	-1		1	8	0							2026-09-01 00:55:02
Darkmoon	Season 10 Wildcard	12781	12781:53870:34	Master Sergeant Biggins	28	19030	Stormpike Battle Charger	0	1	-1	1	1	50000	0							2026-09-01 00:55:02
